user_date,additions,deletions
Dave Poole (2014-12-30T04:16:19Z),9,22
Dave Poole (2014-12-30T04:43:56Z),31,13
Dave Poole (2014-12-30T04:44:17Z),2,2
Dave Poole (2014-12-30T04:48:40Z),5,11
Dave Poole (2014-12-30T05:01:30Z),4,2
Dave Poole (2014-12-30T05:34:18Z),45,0
Dave Poole (2014-12-30T05:35:54Z),0,45
Dave Poole (2015-01-02T19:00:46Z),4,6
Dave Poole (2015-01-04T22:41:05Z),5,3
Dave Poole (2015-01-04T22:57:09Z),7,20
Dave Poole (2015-01-05T17:39:33Z),3,3
Dave Poole (2015-01-05T17:44:03Z),1,1
Dave Poole (2015-01-05T17:47:34Z),47,0
Dave Poole (2015-01-05T18:12:33Z),85,0
Tracy (2015-01-06T17:36:01Z),160,13
Tracy (2015-01-06T17:36:47Z),2,2
KatieK (2015-01-07T22:32:28Z),5,5
Tracy (2015-01-07T23:08:34Z),5,5
liz rush (2015-01-08T02:44:48Z),10,10
liz rush (2015-01-08T02:45:42Z),1,1
liz rush (2015-01-08T02:46:50Z),4,0
liz rush (2015-01-08T03:00:10Z),2,0
Tracy (2015-01-09T21:41:50Z),16,10
Tracy (2015-01-13T06:49:14Z),1,1
Tracy (2015-01-21T04:54:39Z),130,0
Tracy (2015-01-21T05:20:56Z),27,17
Tracy (2015-01-21T05:25:25Z),4,3
Tracy (2015-01-21T05:27:08Z),1,1
Tracy (2015-01-21T05:29:38Z),4,1
Tracy (2015-01-26T01:36:17Z),31,29
Tracy (2015-01-21T05:25:25Z),4,3
Tracy (2015-01-21T05:27:08Z),1,1
Tracy (2015-01-21T05:29:38Z),4,1
Tracy (2015-01-26T01:36:17Z),31,29
Tracy (2015-01-26T01:36:37Z),146,0
Tracy (2015-01-26T01:46:32Z),6,6
Jonathan Lipps (2015-01-26T17:47:36Z),1,1
Tracy (2015-01-26T17:49:11Z),1,1
Jeff Lembeck (2015-01-26T21:10:55Z),6,6
jden (2015-01-27T02:36:39Z),6,6
jden (2015-01-27T18:47:39Z),7,3
Tracy (2015-01-27T19:43:58Z),7,3
KatieK (2015-01-31T20:47:56Z),12,0
KatieK (2015-01-31T20:49:52Z),7,0
Carter Rabasa (2015-02-04T17:49:17Z),19,0
KatieK (2015-02-04T18:10:56Z),3,0
KatieK (2015-02-05T22:29:00Z),3,0
KatieK (2015-02-11T03:13:55Z),5,0
KatieK (2015-02-12T01:42:20Z),3,0
KatieK (2015-02-13T22:57:48Z),4,0
KatieK (2015-02-13T23:05:59Z),12,0
KatieK (2015-02-15T05:11:20Z),3,0
KatieK (2015-02-16T04:47:13Z),1,1
KatieK (2015-02-17T18:03:03Z),4,1
Dave Poole (2015-02-17T18:17:48Z),3,0
KatieK (2015-02-17T18:48:59Z),3,0
David Bruant (2015-02-22T10:30:35Z),3,4
Carter Rabasa (2015-02-22T17:53:34Z),3,4
KatieK (2015-03-02T01:01:20Z),6,0
KatieK (2015-03-02T01:10:05Z),6,0
Dave Poole (2015-01-05T17:47:34Z),47,0
Dave Poole (2015-01-05T18:12:33Z),85,0
Tracy (2015-01-06T17:36:01Z),160,13
Tracy (2015-01-06T17:36:47Z),2,2
KatieK (2015-01-07T22:32:28Z),5,5
Tracy (2015-01-07T23:08:34Z),5,5
liz rush (2015-01-08T02:44:48Z),10,10
liz rush (2015-01-08T02:45:42Z),1,1
liz rush (2015-01-08T02:46:50Z),4,0
liz rush (2015-01-08T03:00:10Z),2,0
Tracy (2015-01-09T21:41:50Z),16,10
Tracy (2015-01-13T06:49:14Z),1,1
Tracy (2015-01-21T04:54:39Z),130,0
Tracy (2015-01-21T05:20:56Z),27,17
Tracy (2015-01-21T05:25:25Z),4,3
Tracy (2015-01-21T05:27:08Z),1,1
Tracy (2015-01-21T05:29:38Z),4,1
Tracy (2015-01-26T01:36:17Z),31,29
Tracy (2015-01-26T01:36:37Z),146,0
Tracy (2015-01-26T01:46:32Z),6,6
Jonathan Lipps (2015-01-26T17:47:36Z),1,1
Tracy (2015-01-26T17:49:11Z),1,1
Jeff Lembeck (2015-01-26T21:10:55Z),6,6
jden (2015-01-27T02:36:39Z),6,6
jden (2015-01-27T18:47:39Z),7,3
Tracy (2015-01-27T19:43:58Z),7,3
KatieK (2015-01-31T20:47:56Z),12,0
KatieK (2015-01-31T20:49:52Z),7,0
Carter Rabasa (2015-02-04T17:49:17Z),19,0
KatieK (2015-02-04T18:10:56Z),3,0
liz rush (2015-01-08T02:45:42Z),1,1
liz rush (2015-01-08T02:46:50Z),4,0
liz rush (2015-01-08T03:00:10Z),2,0
Tracy (2015-01-09T21:41:50Z),16,10
Tracy (2015-01-13T06:49:14Z),1,1
Tracy (2015-01-21T04:54:39Z),130,0
Tracy (2015-01-21T05:20:56Z),27,17
Tracy (2015-01-21T05:25:25Z),4,3
Tracy (2015-01-21T05:27:08Z),1,1
Tracy (2015-01-21T05:29:38Z),4,1
Tracy (2015-01-26T01:36:17Z),31,29
Tracy (2015-01-26T01:36:37Z),146,0
Tracy (2015-01-26T01:46:32Z),6,6
Jonathan Lipps (2015-01-26T17:47:36Z),1,1
Tracy (2015-01-26T17:49:11Z),1,1
Jeff Lembeck (2015-01-26T21:10:55Z),6,6
jden (2015-01-27T02:36:39Z),6,6
jden (2015-01-27T18:47:39Z),7,3
Tracy (2015-01-27T19:43:58Z),7,3
KatieK (2015-01-31T20:47:56Z),12,0
KatieK (2015-01-31T20:49:52Z),7,0
Carter Rabasa (2015-02-04T17:49:17Z),19,0
KatieK (2015-02-04T18:10:56Z),3,0
KatieK (2015-02-05T22:29:00Z),3,0
KatieK (2015-02-11T03:13:55Z),5,0
KatieK (2015-02-12T01:42:20Z),3,0
KatieK (2015-02-13T22:57:48Z),4,0
KatieK (2015-02-15T05:11:20Z),3,0
KatieK (2015-02-16T04:47:13Z),1,1
KatieK (2015-03-02T01:01:20Z),6,0
Tracy (2015-02-03T03:43:42Z),2,2
Tracy (2015-02-03T05:36:30Z),5,2
Tracy (2015-02-03T05:38:12Z),3,3
Tracy (2015-02-03T05:44:16Z),2,2
Tracy (2015-02-03T05:45:55Z),5,2
Tracy (2015-02-03T05:48:11Z),1,1
Dave Poole (2015-02-03T17:05:38Z),4,4
Carter Rabasa (2015-02-03T17:38:15Z),4,4
Carter Rabasa (2015-02-03T21:26:36Z),1,0
Dave Poole (2015-02-04T18:27:05Z),6,6
Carter Rabasa (2015-02-04T18:45:20Z),0,0
Carter Rabasa (2015-02-04T23:49:14Z),0,0
Tracy Abrahms (2015-02-05T16:33:08Z),1,1
Tracy (2015-02-05T16:40:26Z),6,6
Dave Poole (2015-02-10T03:47:46Z),1,1
Dave Poole (2015-02-10T03:48:38Z),2,4
Carter Rabasa (2015-02-10T18:29:24Z),0,0
Carter Rabasa (2015-02-10T18:29:37Z),10,12
Dave Poole (2015-02-17T22:35:21Z),2,2
Dave Poole (2015-02-18T00:02:22Z),2,1
Dave Poole (2015-02-18T00:02:50Z),102,60
Dave Poole (2015-02-18T17:58:43Z),10,16
Dave Poole (2015-02-18T18:23:23Z),8,5
Carter Rabasa (2015-02-18T19:07:01Z),120,80
Carter Rabasa (2015-02-20T16:44:16Z),2,2
Carter Rabasa (2015-02-20T16:47:12Z),0,0
Dave Poole (2015-02-27T18:44:23Z),1,1
Dave Poole (2015-03-02T01:30:31Z),311,27
Dave Poole (2015-03-02T01:34:28Z),0,56
Dave Poole (2015-03-02T01:43:22Z),93,15
Dave Poole (2015-01-28T05:19:16Z),6,2
Dave Poole (2015-01-28T05:19:47Z),1,1
Carter Rabasa (2015-01-28T05:23:15Z),9,3
Dave Poole (2015-01-28T21:54:23Z),36,0
Dave Poole (2015-01-28T21:54:31Z),16,12
