user_date,additions,deletions
Jacob Lowe (2014-01-05T01:44:44Z),12,0
scottmotte (2014-01-11T02:18:40Z),4,4
scottmotte (2014-01-11T02:29:01Z),3,1
Jacob Lowe (2014-01-25T22:28:51Z),1,1
Jacob Lowe (2014-01-25T22:44:08Z),1,1
Jacob Lowe (2014-01-26T00:57:35Z),18,0
Jacob Lowe (2014-02-05T03:48:14Z),7,3
Jacob Lowe (2014-02-10T03:52:26Z),8,1
Jacob Lowe (2014-02-10T03:52:41Z),142,0
Jacob Lowe (2014-02-12T03:50:36Z),2,1
Jacob Lowe (2014-02-13T21:14:02Z),33,9
Jacob Lowe (2014-02-16T00:28:34Z),3,2
Jacob Lowe (2014-02-17T17:51:46Z),0,2
Jacob Lowe (2014-02-17T18:23:58Z),37,0
scottmotte (2014-02-17T22:52:58Z),6,6
scottmotte (2014-02-17T23:09:34Z),88,54
scottmotte (2014-02-17T23:22:45Z),21,3
scottmotte (2014-02-17T23:24:49Z),6,0
scottmotte (2014-02-17T23:25:45Z),1,1
scottmotte (2014-02-17T23:31:28Z),11,7
scottmotte (2014-02-17T23:36:31Z),47,41
scottmotte (2014-02-18T01:48:53Z),99,81
scottmotte (2014-02-18T01:50:02Z),5,5
scottmotte (2014-02-18T02:03:51Z),1,1
scottmotte (2014-02-18T02:20:50Z),1,1
scottmotte (2014-02-18T02:21:00Z),1,1
scottmotte (2014-02-18T02:23:53Z),1,0
scottmotte (2014-02-18T23:32:25Z),0,0
scottmotte (2014-02-18T23:33:18Z),2,0
scottmotte (2014-03-23T01:27:46Z),58,5
Jacob Lowe (2014-02-10T03:52:26Z),8,1
Jacob Lowe (2014-02-10T03:52:41Z),142,0
Jacob Lowe (2014-02-12T03:50:36Z),2,1
Jacob Lowe (2014-02-13T21:14:02Z),33,9
Jacob Lowe (2014-02-16T00:28:34Z),3,2
Jacob Lowe (2014-02-17T17:51:46Z),0,2
Jacob Lowe (2014-02-17T18:23:58Z),37,0
scottmotte (2014-02-17T22:52:58Z),6,6
scottmotte (2014-02-17T23:09:34Z),88,54
scottmotte (2014-02-17T23:22:45Z),21,3
scottmotte (2014-02-17T23:24:49Z),6,0
scottmotte (2014-02-17T23:25:45Z),1,1
scottmotte (2014-02-17T23:31:28Z),11,7
scottmotte (2014-02-17T23:36:31Z),47,41
scottmotte (2014-02-18T01:48:53Z),99,81
scottmotte (2014-02-18T01:50:02Z),5,5
scottmotte (2014-02-18T02:03:51Z),1,1
scottmotte (2014-02-18T02:20:50Z),1,1
scottmotte (2014-02-18T02:21:00Z),1,1
scottmotte (2014-02-18T02:23:53Z),1,0
scottmotte (2014-02-18T23:32:25Z),0,0
scottmotte (2014-02-18T23:33:18Z),2,0
Jacob Lowe (2014-02-23T00:01:55Z),38,9
Jacob Lowe (2014-02-23T00:05:59Z),271,181
Jacob Lowe (2014-04-05T01:20:51Z),1,1
Kevin Chandler (2014-04-05T01:22:47Z),3,3
Kevin Chandler (2014-04-05T01:23:08Z),1,1
Kevin Chandler (2014-04-05T19:13:10Z),1,1
Jacob Lowe (2014-04-05T19:19:18Z),23,14
Jacob Lowe (2014-04-05T19:19:33Z),1,1
Scott Motte (2013-06-06T03:35:43Z),506,0
