user_date,additions,deletions
Carter Rabasa (2015-02-16T17:16:28Z),0,0
Carter Rabasa (2015-02-16T17:16:28Z),0,0
Carter Rabasa (2015-02-16T17:17:42Z),3160,0
Carter Rabasa (2015-02-17T23:05:39Z),91,0
Carter Rabasa (2015-02-18T18:46:50Z),0,188
Carter Rabasa (2015-02-18T19:09:34Z),45,277
Carter Rabasa (2015-02-18T19:10:09Z),45,0
Carter Rabasa (2015-02-18T22:15:46Z),7,9
Carter Rabasa (2015-02-26T05:24:49Z),5,15
Carter Rabasa (2016-09-25T22:31:17Z),32,0
Carter Rabasa (2016-09-26T17:39:47Z),14,12
Carter Rabasa (2016-09-26T17:52:14Z),1,1
Carter Rabasa (2016-09-26T17:57:02Z),2,1
