user_date,additions,deletions
Carter Rabasa (2012-08-29T21:44:12Z),12274,0
Carter Rabasa (2012-08-29T21:45:56Z),0,0
Carter Rabasa (2012-08-29T21:59:44Z),7,6
Carter Rabasa (2012-08-30T00:09:16Z),38,6
Carter Rabasa (2012-08-30T02:17:26Z),5,5
Carter Rabasa (2012-08-30T02:53:25Z),20,0
Carter Rabasa (2012-08-30T03:55:14Z),1,1
Carter Rabasa (2012-08-30T13:46:29Z),1,1
Carter Rabasa (2012-08-30T16:46:41Z),19,96
Carter Rabasa (2012-08-30T17:28:05Z),83,16
Carter Rabasa (2012-08-30T17:29:01Z),1,1
Carter Rabasa (2012-08-30T17:35:12Z),20,20
Rob Spectre (2012-08-30T20:49:18Z),41,2
Carter Rabasa (2012-08-31T01:29:12Z),41,2
Carter Rabasa (2012-09-02T00:26:27Z),11,0
Carter Rabasa (2012-09-02T00:26:48Z),2,0
Carter Rabasa (2012-09-02T00:27:13Z),31,14
Carter Rabasa (2012-09-06T20:09:02Z),4,3
