user_date,additions,deletions
Carter Rabasa (2014-10-02T20:55:51Z),95,0
Carter Rabasa (2014-10-02T20:56:37Z),2,0
Carter Rabasa (2014-10-02T20:59:14Z),1,2
Carter Rabasa (2014-10-02T21:00:11Z),0,0
Carter Rabasa (2014-10-02T21:00:28Z),0,0
Carter Rabasa (2014-10-02T21:01:45Z),6,0
Carter Rabasa (2014-10-03T21:54:33Z),37,5
Carter Rabasa (2014-10-06T21:59:09Z),13,9
Carter Rabasa (2014-10-07T16:54:40Z),86,70
Carter Rabasa (2014-10-07T17:26:46Z),19,12
Carter Rabasa (2014-10-14T03:23:24Z),18,18
Carter Rabasa (2014-10-14T03:34:16Z),11,0
Carter Rabasa (2014-10-14T03:35:17Z),2,0
Carter Rabasa (2014-10-14T15:49:36Z),9,10
Carter Rabasa (2014-10-14T16:40:41Z),46,0
Carter Rabasa (2014-10-14T18:09:23Z),1,1
