user_date,additions,deletions
Carter Rabasa (2012-06-26T17:59:03Z),4,0
Carter Rabasa (2012-06-27T03:59:54Z),25,0
Carter Rabasa (2012-06-27T22:42:41Z),42,0
Carter Rabasa (2012-06-27T22:45:09Z),2,2
Carter Rabasa (2012-06-27T23:02:47Z),17,10
Carter Rabasa (2012-06-27T23:03:01Z),26,10
Patrick Malatack (2012-06-27T23:24:21Z),1,1
Carter Rabasa (2012-06-27T23:27:15Z),1,1
Carter Rabasa (2012-06-28T04:03:35Z),51,7
Carter Rabasa (2012-06-28T16:02:27Z),7,4
Carter Rabasa (2012-06-28T16:04:27Z),7,7
Carter Rabasa (2012-06-28T16:05:43Z),3,3
Carter Rabasa (2012-06-28T16:06:14Z),3,3
Carter Rabasa (2012-06-28T16:07:15Z),0,0
Carter Rabasa (2012-06-29T18:07:59Z),141,3
Carter Rabasa (2012-07-01T19:08:05Z),17,49
Carter Rabasa (2012-07-01T19:08:51Z),45,22
Carter Rabasa (2012-07-01T23:15:45Z),4,6
Carter Rabasa (2012-07-02T15:43:45Z),1,1
Carter Rabasa (2015-02-19T19:35:26Z),41,30
