user_date,additions,deletions
Carter Rabasa (2013-05-29T03:39:00Z),1,0
Carter Rabasa (2013-05-29T15:59:32Z),23,1
Carter Rabasa (2013-05-29T16:04:56Z),1,1
Carter Rabasa (2013-05-29T16:11:55Z),22,0
Carter Rabasa (2013-05-29T03:39:00Z),1,0
Carter Rabasa (2013-05-29T03:40:04Z),8353,0
Carter Rabasa (2013-05-29T03:43:00Z),10,10
Carter Rabasa (2013-05-29T12:40:31Z),30,22
Carter Rabasa (2013-05-29T13:07:50Z),1,0
Carter Rabasa (2013-05-29T13:51:02Z),1,1
Carter Rabasa (2013-05-29T14:26:19Z),1,1
Carter Rabasa (2013-06-01T21:10:13Z),1,0
Carter Rabasa (2013-06-01T23:47:54Z),0,1
Carter Rabasa (2013-06-01T23:48:34Z),1,0
