user_date,additions,deletions
Patrick Heneise (2013-01-21T20:06:55Z),0,0
Chris Williams (2013-01-21T21:35:59Z),0,0
t32k (2013-03-06T11:01:37Z),3825,0
Lance Roggendorff (2013-03-07T02:18:33Z),5,0
Chris Williams (2013-03-07T02:42:54Z),5,0
Chris Williams (2013-04-09T18:03:14Z),0,0
Chris Williams (2013-04-09T18:05:43Z),3827,0
Chris Williams (2013-04-09T18:07:08Z),6,0
Chris Williams (2013-04-09T18:07:54Z),6,0
AJ ONeal (2013-04-09T18:34:19Z),10598,5
AJ ONeal (2013-04-09T18:39:20Z),7,0
AJ ONeal (2013-04-10T02:48:16Z),27,0
AJ ONeal (2013-04-10T02:50:44Z),5,0
Darren DeRidder (2013-04-10T17:12:07Z),1,0
Darren DeRidder (2013-04-10T17:19:04Z),74,1
Darren DeRidder (2013-04-10T17:24:17Z),5,0
Malte Ubl (2013-04-21T22:28:21Z),62092,4
Chris Williams (2013-04-22T01:31:20Z),980,0
Chris Williams (2013-04-22T01:31:35Z),79,0
Chris Williams (2013-04-22T01:31:45Z),10605,5
Chris Williams (2013-04-22T01:33:08Z),33,1
Nicolas Froidure (2013-05-09T17:05:32Z),73,0
Stefano Gargiulo (2013-05-27T23:57:36Z),7649,0
Stefano Gargiulo (2013-05-28T00:15:54Z),0,0
Zach Leatherman (2013-07-09T01:37:19Z),76,0
Zach Leatherman (2013-07-09T01:40:37Z),2,4
Chris Williams (2013-07-09T12:39:31Z),74,0
Chris Williams (2013-07-09T12:39:43Z),7649,0
Chris Williams (2013-07-09T12:40:01Z),73,0
Carter Rabasa (2013-08-08T18:06:01Z),1584,0
