user_date,additions,deletions
Dave Poole (2014-12-30T04:16:19Z),9,22
Dave Poole (2014-12-30T04:43:56Z),31,13
Dave Poole (2014-12-30T04:44:17Z),2,2
Dave Poole (2014-12-30T04:48:40Z),5,11
Dave Poole (2014-12-30T05:01:30Z),4,2
Dave Poole (2014-12-30T05:34:18Z),45,0
Dave Poole (2014-12-30T05:35:54Z),0,45
Dave Poole (2015-01-02T19:00:46Z),4,6
Dave Poole (2015-01-04T22:41:05Z),5,3
Dave Poole (2015-01-04T22:57:09Z),7,20
Dave Poole (2015-01-05T17:39:33Z),3,3
Dave Poole (2015-01-05T17:44:03Z),1,1
Dave Poole (2015-01-05T17:47:34Z),47,0
Dave Poole (2015-01-05T18:12:33Z),85,0
Tracy (2015-01-06T17:36:01Z),160,13
Tracy (2015-01-06T17:36:47Z),2,2
KatieK (2015-01-07T22:32:28Z),5,5
Tracy (2015-01-07T23:08:34Z),5,5
liz rush (2015-01-08T02:44:48Z),10,10
liz rush (2015-01-08T02:45:42Z),1,1
liz rush (2015-01-08T02:46:50Z),4,0
liz rush (2015-01-08T03:00:10Z),2,0
Tracy (2015-01-09T21:41:50Z),16,10
Tracy (2015-01-13T06:49:14Z),1,1
Tracy (2015-01-21T04:54:39Z),130,0
Tracy (2015-01-21T05:20:56Z),27,17
Tracy (2015-01-21T05:25:25Z),4,3
Tracy (2015-01-21T05:27:08Z),1,1
Tracy (2015-01-21T05:29:38Z),4,1
Tracy (2015-01-26T01:36:17Z),31,29
Dave Poole (2014-12-30T04:44:17Z),2,2
Dave Poole (2014-12-30T04:48:40Z),5,11
Dave Poole (2014-12-30T05:01:30Z),4,2
Dave Poole (2014-12-30T05:34:18Z),45,0
Dave Poole (2014-12-30T05:35:54Z),0,45
Dave Poole (2015-01-02T19:00:46Z),4,6
Dave Poole (2015-01-04T22:41:05Z),5,3
Dave Poole (2015-01-04T22:57:09Z),7,20
Dave Poole (2015-01-05T17:39:33Z),3,3
Dave Poole (2015-01-05T17:44:03Z),1,1
Dave Poole (2015-01-05T17:47:34Z),47,0
Dave Poole (2015-01-05T18:12:33Z),85,0
Tracy (2015-01-06T17:36:01Z),160,13
Tracy (2015-01-06T17:36:47Z),2,2
KatieK (2015-01-07T22:32:28Z),5,5
Tracy (2015-01-07T23:08:34Z),5,5
liz rush (2015-01-08T02:44:48Z),10,10
liz rush (2015-01-08T02:45:42Z),1,1
liz rush (2015-01-08T02:46:50Z),4,0
liz rush (2015-01-08T03:00:10Z),2,0
Tracy (2015-01-09T21:41:50Z),16,10
Tracy (2015-01-13T06:49:14Z),1,1
Tracy (2015-01-21T04:54:39Z),130,0
Tracy (2015-01-21T05:20:56Z),27,17
Tracy (2015-01-21T05:25:25Z),4,3
Tracy (2015-01-21T05:27:08Z),1,1
Tracy (2015-01-21T05:29:38Z),4,1
Tracy (2015-01-26T01:36:17Z),31,29
Tracy (2015-01-26T01:36:37Z),146,0
Tracy (2015-01-26T01:46:32Z),6,6
Dave Poole (2015-01-22T21:34:47Z),7,0
Dave Poole (2015-01-22T21:49:25Z),18,18
Dave Poole (2015-01-22T22:17:08Z),0,0
Dave Poole (2015-01-22T22:18:19Z),1,1
Dave Poole (2015-01-22T22:18:55Z),15,3
Dave Poole (2015-01-22T22:56:32Z),65,20
Dave Poole (2015-01-23T00:16:19Z),2,3
Dave Poole (2015-01-23T00:28:05Z),2,2
Zach Meyer (2015-01-23T02:43:31Z),2456,298
Dave Poole (2015-01-23T03:30:31Z),0,0
Dave Poole (2015-01-23T03:34:03Z),2,2
Dave Poole (2015-01-23T04:17:45Z),2456,207
Dave Poole (2015-01-23T04:18:18Z),2456,207
Dave Poole (2015-01-23T04:19:09Z),0,0
Zach Meyer (2015-01-23T06:58:15Z),64,23
Zach Meyer (2015-01-23T06:58:18Z),91,0
Zach Meyer (2015-01-23T07:10:49Z),6,0
Dave Poole (2015-01-23T16:45:58Z),70,23
Dave Poole (2015-01-23T16:47:43Z),4,4
Zach Meyer (2015-01-23T18:11:36Z),21,10
Dave Poole (2015-01-23T20:24:22Z),21,10
Dave Poole (2015-01-23T22:19:22Z),1,1
Dave Poole (2015-01-23T22:20:19Z),23,10
Dave Poole (2015-01-23T22:20:38Z),0,0
Dave Poole (2015-01-23T22:28:36Z),3,7
Dave Poole (2015-01-23T22:33:01Z),1,1
Dave Poole (2015-01-26T02:23:36Z),35,23
Dave Poole (2015-01-26T02:39:56Z),49,9
Dave Poole (2015-01-26T02:40:14Z),3034,26
Tracy (2015-01-26T03:13:27Z),3,5
Dave Poole (2015-01-23T00:28:05Z),2,2
Zach Meyer (2015-01-23T02:43:31Z),2456,298
Dave Poole (2015-01-23T03:30:31Z),0,0
Dave Poole (2015-01-23T03:34:03Z),2,2
Dave Poole (2015-01-23T04:17:45Z),2456,207
Dave Poole (2015-01-23T04:18:18Z),2456,207
Dave Poole (2015-01-23T04:19:09Z),0,0
Zach Meyer (2015-01-23T06:58:15Z),64,23
Zach Meyer (2015-01-23T06:58:18Z),91,0
Zach Meyer (2015-01-23T07:10:49Z),6,0
Dave Poole (2015-01-23T16:45:58Z),70,23
Dave Poole (2015-01-23T16:47:43Z),4,4
Zach Meyer (2015-01-23T18:11:36Z),21,10
Dave Poole (2015-01-23T20:24:22Z),21,10
Dave Poole (2015-01-23T22:19:22Z),1,1
Dave Poole (2015-01-23T22:20:19Z),23,10
Dave Poole (2015-01-23T22:20:38Z),0,0
Dave Poole (2015-01-23T22:28:36Z),3,7
Dave Poole (2015-01-23T22:33:01Z),1,1
Dave Poole (2015-01-26T02:23:36Z),35,23
Dave Poole (2015-01-26T02:39:56Z),49,9
Dave Poole (2015-01-26T02:40:14Z),3034,26
Dave Poole (2015-01-26T03:06:34Z),0,0
Tracy (2015-01-26T03:13:27Z),3,5
Tracy (2015-01-26T03:14:29Z),3,5
Tracy (2015-01-26T03:15:56Z),0,0
Jason Rhodes (2015-01-26T16:28:00Z),1,1
Tracy (2015-01-26T16:34:30Z),1,1
Jason Rhodes (2015-01-26T16:37:00Z),1,1
Tracy (2015-01-26T16:41:58Z),1,1
