user_date,additions,deletions
Adam Pearson (2011-02-12T22:47:41Z),169,0
Adam Pearson (2011-02-14T05:20:21Z),28,0
Adam Pearson (2011-02-14T05:22:43Z),0,0
Adam Pearson (2011-02-14T05:24:08Z),6,2
Adam Pearson (2011-02-14T05:27:47Z),21,6
Adam Pearson (2011-02-26T22:35:19Z),12,0
Adam Pearson (2011-02-26T22:35:45Z),1,1
Dave Foley (2011-03-09T19:45:09Z),109,19
Dave Foley (2011-03-09T19:53:04Z),21,3
Dave Foley (2011-03-09T20:32:09Z),1,0
Dave Foley (2011-03-09T20:32:53Z),1,1
Dave Foley (2011-03-09T20:33:08Z),69,0
Dave Foley (2011-03-09T22:12:50Z),3,3
Dave Foley (2011-03-09T22:13:39Z),1,1
Dave Foley (2011-03-09T22:14:50Z),2,1
Adam Pearson (2011-03-10T01:27:58Z),1,0
Adam Pearson (2011-03-10T01:29:12Z),1,1
Adam Pearson (2011-03-10T04:15:25Z),101,91
Adam Pearson (2011-03-10T05:49:08Z),53,2
Adam Pearson (2011-03-10T05:57:25Z),4,3
Adam Pearson (2011-03-10T06:03:46Z),1,2
Adam Pearson (2011-03-10T06:06:52Z),2,2
Dave Foley (2011-03-11T22:47:09Z),202,13
Dave Foley (2011-03-11T22:47:54Z),153,91
Dave Foley (2011-04-08T18:07:37Z),1,1
Dave Foley (2011-04-08T18:16:48Z),10,6
Dave Foley (2011-04-08T18:29:34Z),3,2
Dave Foley (2011-04-08T21:30:21Z),76,28
Dave Foley (2011-04-08T21:32:24Z),1,1
Dave Foley (2011-04-08T21:33:34Z),4,1
Dave Foley (2011-04-08T22:21:09Z),10,4
Dave Foley (2011-04-20T03:51:58Z),125,3
Dave Foley (2011-04-20T03:59:57Z),12,6
Dave Foley (2011-04-20T04:13:25Z),14,23
Dave Foley (2011-05-04T02:59:31Z),0,48
Dave Foley (2011-05-04T03:29:13Z),0,10
Dave Foley (2011-05-04T14:42:34Z),32,28
Dave Foley (2011-05-04T14:53:58Z),20,48
Dave Foley (2011-05-14T00:04:09Z),49,31
Dave Foley (2011-05-14T00:06:39Z),1,1
Dave Foley (2011-05-14T00:20:45Z),13,2
Dave Foley (2011-05-14T00:22:23Z),1,1
Dave Foley (2011-05-14T00:23:37Z),2,3
Dave Foley (2011-05-16T15:51:42Z),15,22
Dave Foley (2011-05-16T16:11:28Z),24,17
Dave Foley (2011-06-01T15:46:15Z),21,11
Dave Foley (2011-07-06T23:29:41Z),1,1
Dave Foley (2011-07-06T23:30:25Z),2,1
Dave Foley (2011-07-06T23:30:57Z),1,1
Dave Foley (2011-07-06T23:31:17Z),6,7
Dave Foley (2011-07-06T23:35:27Z),1,1
Dave Foley (2012-02-10T19:18:11Z),3,0
Dave Foley (2012-02-10T19:19:14Z),2,0
Dave Foley (2014-01-18T17:50:52Z),18,8
