user_date,additions,deletions
Dave Foley (2012-06-25T22:24:39Z),21,0
Dave Foley (2012-06-25T22:36:23Z),12,0
Dave Foley (2012-06-25T23:34:39Z),32,1
Dave Foley (2012-06-26T16:57:48Z),97,16
Dave Foley (2012-06-26T17:00:13Z),1,1
Dave Foley (2012-06-26T17:00:21Z),20,0
Dave Foley (2012-06-26T17:59:17Z),11,0
Dave Foley (2012-06-26T18:03:44Z),2,0
Dave Foley (2014-04-05T16:35:40Z),179,137
Dave Foley (2014-04-05T16:39:18Z),9,1
Dave Foley (2014-04-05T16:45:42Z),1,0
Dave Foley (2014-04-05T16:47:52Z),1,1
Dave Foley (2014-04-05T16:56:37Z),9,14
Dave Foley (2014-04-05T16:58:11Z),0,2
