user_date,additions,deletions
Bastian Krol (2013-11-13T09:37:59Z),1,0
Bastian Krol (2013-11-13T10:17:44Z),8,0
Bastian Krol (2013-11-13T11:39:53Z),1,1
Bastian Krol (2013-11-13T11:48:52Z),6,3
Bastian Krol (2013-11-13T12:11:20Z),9,0
Bastian Krol (2013-11-13T12:15:00Z),2,2
Bastian Krol (2013-11-13T12:16:14Z),3,1
Bastian Krol (2013-11-13T12:27:50Z),1,1
Bastian Krol (2013-11-13T13:47:30Z),2,1
Bastian Krol (2013-11-13T17:02:00Z),38,15
Bastian Krol (2013-11-14T07:59:52Z),1,1
Bastian Krol (2013-11-14T21:51:14Z),141,337
Bastian Krol (2013-11-14T22:15:46Z),9,14
Bastian Krol (2013-11-14T22:25:00Z),35,2
Bastian Krol (2013-11-14T22:26:46Z),3,0
Bastian Krol (2013-11-14T22:28:24Z),2,2
Bastian Krol (2013-11-14T22:46:44Z),5,0
Bastian Krol (2013-11-15T09:57:12Z),6,14
Bastian Krol (2013-11-15T10:16:41Z),0,4
Bastian Krol (2013-11-15T10:29:16Z),3,0
Bastian Krol (2013-11-15T10:35:18Z),5,2
Bastian Krol (2013-11-15T10:36:49Z),1,0
Bastian Krol (2013-11-15T10:41:18Z),4,4
Bastian Krol (2013-11-15T10:43:53Z),4,4
Bastian Krol (2013-11-15T10:45:44Z),2,0
Bastian Krol (2013-11-15T10:51:52Z),15,15
Bastian Krol (2013-11-15T10:52:46Z),1,1
Bastian Krol (2013-11-15T11:06:21Z),1,1
Bastian Krol (2013-11-15T12:26:14Z),1,1
Bastian Krol (2013-11-17T22:29:23Z),24,0
