user_date,additions,deletions
Dave Foley (2015-01-10T06:09:56Z),393,0
Dave Foley (2015-01-10T06:13:48Z),4,3
Dave Foley (2015-01-10T06:21:23Z),23,16
Dave Foley (2015-01-10T06:28:50Z),5,2
Dave Foley (2015-01-10T06:29:14Z),20,20
Dave Foley (2015-01-10T06:32:07Z),1,2
Dave Foley (2015-01-10T06:33:06Z),0,3
Dave Foley (2015-01-10T06:34:06Z),5,2
Dave Foley (2015-01-10T06:35:05Z),1,2
Dave Foley (2015-01-10T06:36:00Z),1,1
Dave Foley (2015-01-10T06:36:35Z),1,1
Dave Foley (2015-01-10T18:41:49Z),15,11
Dave Foley (2015-01-10T19:01:53Z),30,23
Dave Foley (2015-01-10T19:09:25Z),13,12
Dave Foley (2015-01-12T16:53:46Z),2,2
Dave Foley (2015-01-12T16:54:01Z),81,60
Dave Foley (2015-01-12T16:59:45Z),1,0
Dave Foley (2015-01-12T17:37:32Z),2,2
