user_date,additions,deletions
Dave Foley (2012-11-14T20:37:28Z),7,0
Dave Foley (2012-11-14T20:42:06Z),1,0
Dave Foley (2012-11-14T20:47:18Z),566,0
Dave Foley (2012-11-14T21:07:34Z),6,0
Dave Foley (2012-11-14T21:12:30Z),1,1
Dave Foley (2012-11-15T00:45:46Z),177,83
Dave Foley (2012-11-17T04:47:39Z),153,60
Dave Foley (2012-11-17T21:37:03Z),192,53
Dave Foley (2012-11-17T22:28:03Z),53,36
Dave Foley (2012-11-17T22:50:24Z),91,31
Dave Foley (2012-11-17T23:03:29Z),65,46
Dave Foley (2012-11-17T23:37:01Z),34,9
Dave Foley (2012-11-18T20:17:50Z),79,31
Dave Foley (2012-11-18T20:21:35Z),67,70
Dave Foley (2012-11-18T21:17:14Z),29,14
Dave Foley (2012-12-04T17:28:06Z),0,82
Dave Foley (2012-12-04T17:36:51Z),1,0
Dave Foley (2012-12-04T17:38:28Z),1,0
Dave Foley (2012-12-04T17:40:34Z),878,0
Dave Foley (2012-12-04T17:41:07Z),57,0
