user_date,additions,deletions
Dave Foley (2011-12-05T01:02:12Z),181,0
Dave Foley (2011-12-05T01:09:11Z),25,0
Dave Foley (2011-12-05T01:12:10Z),10,3
Dave Foley (2011-12-05T15:55:02Z),58,1
Dave Foley (2011-12-05T16:22:41Z),54,11
Dave Foley (2011-12-05T16:24:20Z),3,2
Dave Foley (2011-12-05T17:06:36Z),50,21
Dave Foley (2011-12-05T18:01:53Z),80,31
Dave Foley (2011-12-06T22:37:39Z),1,3
Dave Foley (2011-12-06T22:52:22Z),7,0
Dave Foley (2011-12-06T22:52:33Z),0,0
Dave Foley (2011-12-06T23:11:52Z),21,13
