user_date,additions,deletions
Dave Foley (2017-01-22T17:25:38Z),2,0
Dave Foley (2017-01-22T17:43:58Z),4,0
Dave Foley (2017-01-22T17:44:09Z),9,0
Dave Foley (2017-01-23T16:52:51Z),74,0
Dave Foley (2017-01-23T16:53:11Z),3472,0
Dave Foley (2017-01-23T16:53:24Z),2489,0
Dave Foley (2017-01-23T16:53:52Z),134,0
Dave Foley (2017-01-23T16:54:06Z),121,0
Dave Foley (2017-01-23T16:54:21Z),109,0
Dave Foley (2017-01-23T16:54:39Z),19,0
Dave Foley (2017-01-23T16:54:47Z),80,0
Dave Foley (2017-01-23T16:54:56Z),65,0
Dave Foley (2017-01-23T17:16:55Z),2,0
Dave Foley (2017-01-23T17:17:06Z),3,2
Dave Foley (2017-01-23T17:17:19Z),56,0
Dave Foley (2017-01-23T17:18:21Z),2,2
Dave Foley (2017-01-23T17:20:50Z),0,2
Dave Foley (2017-01-23T17:21:07Z),1,1
Dave Foley (2017-01-23T17:28:26Z),15,1
Dave Foley (2017-01-23T17:35:24Z),1,1
Dave Foley (2017-02-02T17:04:52Z),31,14
Dave Foley (2017-02-05T16:48:05Z),114,0
Dave Foley (2017-02-05T16:49:00Z),7,0
