user_date,additions,deletions
Dave Foley (2014-10-30T16:40:48Z),135,0
Dave Foley (2014-10-30T17:08:23Z),12,0
Dave Foley (2014-10-30T17:08:35Z),33,10
Dave Foley (2014-10-30T18:31:57Z),57,20
Dave Foley (2014-10-30T18:32:19Z),10,4
Dave Foley (2014-10-31T15:16:30Z),215,184
Dave Foley (2014-11-03T16:00:01Z),18,4
Dave Foley (2014-11-03T16:25:15Z),0,1
Dave Foley (2014-11-03T16:25:37Z),1,1
Dave Foley (2014-11-05T19:31:30Z),16,5
Dave Foley (2014-11-05T19:32:08Z),1,1
Dave Foley (2014-11-05T19:35:16Z),2,1
Dave Foley (2016-03-27T19:29:31Z),1,5
Dave Foley (2016-03-27T19:29:46Z),1,2
Dave Foley (2016-03-27T19:39:23Z),1,1
Dave Foley (2016-11-07T21:23:45Z),1,0
Dave Foley (2016-11-07T21:27:03Z),1,1
Dave Foley (2017-08-17T16:54:10Z),55,2
Dave Foley (2017-08-17T16:55:23Z),1,1
