user_date,additions,deletions
Carter Rabasa (2013-08-12T16:32:31Z),26,0
Carter Rabasa (2013-08-12T16:32:42Z),50,0
Carter Rabasa (2013-08-12T16:32:51Z),20,0
Brian (2013-08-12T16:52:04Z),3,3
Lance Ball (2013-08-12T16:54:47Z),38,0
Carter Rabasa (2013-08-12T17:00:03Z),36,0
Carter Rabasa (2013-08-12T17:03:52Z),38,0
Peter McLachlan (2013-08-12T17:42:52Z),23,0
Peter McLachlan (2013-08-12T17:48:40Z),0,0
Carter Rabasa (2013-08-12T17:56:11Z),23,0
Lance Ball (2013-08-12T19:38:45Z),1,1
Carter Rabasa (2013-08-12T22:56:44Z),1,1
Neuman Vong (2013-08-13T01:37:01Z),53,0
Kevin Burke (2013-08-13T04:28:45Z),41,0
Dave Cadwallader (2013-08-13T07:08:44Z),43,0
Tom Buchok (2013-08-13T13:56:48Z),33,0
Tom Buchok (2013-08-13T14:16:36Z),7,7
Dave Cadwallader (2013-08-13T15:43:26Z),11,6
Dave Cadwallader (2013-08-13T15:53:07Z),8,5
Carter Rabasa (2013-08-13T16:02:05Z),33,0
Carter Rabasa (2013-08-13T16:02:22Z),51,0
Carter Rabasa (2013-08-13T16:02:33Z),41,0
Carter Rabasa (2013-08-13T16:02:44Z),53,0
Kyle Quest (2013-08-13T16:52:00Z),28,0
Carter Rabasa (2013-08-13T17:01:21Z),28,0
Alexandrine Boissière (2013-08-13T17:22:07Z),31,0
Carter Rabasa (2013-08-13T17:26:42Z),31,0
Jeremy Foster (2013-08-13T22:31:19Z),34,0
Carter Rabasa (2013-08-13T22:35:05Z),34,0
jlord (2013-08-14T22:19:09Z),23,0
Carter Rabasa (2013-05-31T18:33:44Z),2,0
Carter Rabasa (2013-05-31T18:34:55Z),46,2
Carter Rabasa (2013-05-31T18:35:48Z),28,46
Carter Rabasa (2013-05-31T18:36:51Z),1,0
Carter Rabasa (2013-07-08T16:20:12Z),1,1
Carter Rabasa (2013-07-08T16:46:48Z),1,2
Carter Rabasa (2013-07-08T17:34:03Z),1,1
Carter Rabasa (2013-07-08T18:29:33Z),1,1
Carter Rabasa (2013-07-08T20:34:46Z),0,0
Carter Rabasa (2013-07-08T20:39:37Z),0,0
Carter Rabasa (2013-07-08T21:14:38Z),0,0
Carter Rabasa (2013-07-08T23:31:51Z),10,9
Carter Rabasa (2013-07-09T20:09:59Z),0,0
Carter Rabasa (2013-07-10T20:20:31Z),31,2
Justin Alm (2013-07-26T17:53:45Z),2180,53
Justin Alm (2013-07-26T22:30:25Z),0,0
Justin Alm (2013-07-30T22:05:26Z),221,45
Justin Alm (2013-07-30T22:18:53Z),4,0
Carter Rabasa (2013-07-30T22:58:33Z),34,0
Justin Alm (2013-07-31T17:35:17Z),105,823
Carter Rabasa (2013-08-01T15:28:17Z),2,2
Carter Rabasa (2013-08-01T16:56:19Z),104,822
Bryce Baril (2013-08-01T17:17:38Z),1,1
Carter Rabasa (2013-08-01T17:35:57Z),1,1
Carter Rabasa (2013-08-01T17:41:14Z),1,1
Justin Alm (2013-08-03T06:24:15Z),1879,0
Justin Alm (2013-08-03T06:27:29Z),302,103
