user_date,additions,deletions
Max Ogden (2013-03-21T19:22:42Z),183,0
Max Ogden (2013-03-21T19:30:39Z),6,2
Max Ogden (2013-03-21T19:52:31Z),61,4
Max Ogden (2013-03-21T20:01:16Z),3,2
Max Ogden (2013-03-22T07:08:22Z),12,4
Max Ogden (2013-03-22T07:45:07Z),13,1
Max Ogden (2013-03-22T07:57:49Z),1,1
Max Ogden (2013-03-22T08:02:14Z),1,1
George Stagas (2013-03-22T12:55:22Z),1,1
Max Ogden (2013-03-22T17:52:37Z),1,1
Max Ogden (2013-03-22T18:01:45Z),2,0
Max Ogden (2013-03-22T19:44:29Z),3,1
jllord (2013-03-22T21:43:21Z),3,1
jllord (2013-03-22T21:45:51Z),0,0
jllord (2013-03-22T21:47:45Z),0,0
