user_date,additions,deletions
Ben Ogle (2013-12-11T00:10:03Z),1,1
Kevin Sawicki (2013-12-12T00:03:47Z),0,9
Kevin Sawicki (2013-12-12T00:03:53Z),1,1
Ben Ogle (2013-12-19T20:16:23Z),7,0
Ben Ogle (2013-12-19T20:25:43Z),1,1
Nathan Sobo (2014-01-11T18:00:05Z),2,1
Nathan Sobo (2014-01-11T18:01:04Z),1,1
Nathan Sobo (2014-01-15T11:42:42Z),0,1
Nathan Sobo (2014-01-15T11:44:33Z),4,0
Nathan Sobo (2014-01-15T18:51:22Z),4,0
Nathan Sobo (2014-01-15T22:01:13Z),3,3
Nathan Sobo (2014-01-15T23:39:58Z),8,0
Nathan Sobo (2014-01-15T23:40:29Z),1,1
Nathan Sobo (2014-01-16T17:43:39Z),6,1
Nathan Sobo (2014-01-16T18:26:23Z),1,1
Kevin Sawicki (2014-02-03T18:59:32Z),1,1
Kevin Sawicki (2014-02-03T18:59:36Z),1,1
Kevin Sawicki (2014-02-26T00:10:51Z),18,10
Kevin Sawicki (2014-02-26T00:11:02Z),1,1
Kevin Sawicki (2014-02-26T00:13:12Z),6,2
Kevin Sawicki (2014-02-26T00:13:19Z),1,1
Jose Antonio Marquez Russo (2014-02-28T05:15:25Z),1,1
Kevin Sawicki (2014-03-02T00:16:24Z),1,1
Jessica Lord (2014-03-02T04:37:27Z),3,3
Jessica Lord (2014-03-02T05:20:01Z),31,26
Jessica Lord (2014-03-03T03:38:26Z),11,5
Jessica Lord (2014-03-03T04:02:11Z),12,6
Jessica Lord (2014-03-03T04:13:50Z),2,2
Jessica Lord (2014-05-23T15:06:56Z),4,1
Jessica Lord (2014-05-24T13:20:00Z),7,9
