user_date,additions,deletions
paters936 (2015-11-07T11:31:42Z),1,0
paters936 (2015-11-07T11:32:08Z),1,0
Jessica Lord (2015-11-07T11:32:09Z),1,0
Erik Trainer (2015-11-07T11:32:16Z),1,0
Jessica Lord (2015-11-07T11:32:19Z),1,0
Jessica Lord (2015-11-07T11:32:36Z),1,0
paters936 (2015-11-07T11:32:46Z),1,0
paters936 (2015-11-07T11:33:13Z),1,0
Jessica Lord (2015-11-07T11:33:34Z),1,0
paters936 (2015-11-07T11:33:40Z),1,0
Jessica Lord (2015-11-07T11:33:45Z),1,0
Jessica Lord (2015-11-07T11:33:49Z),1,0
Jessica Lord (2015-11-07T11:33:59Z),1,0
Jessica Lord (2015-11-07T11:34:07Z),1,0
paters936 (2015-11-07T11:34:15Z),1,0
paters936 (2015-11-07T11:34:45Z),1,0
Jessica Lord (2015-11-07T11:34:53Z),1,0
Jessica Lord (2015-11-07T11:34:59Z),1,0
Jessica Lord (2015-11-07T11:35:04Z),1,0
paters936 (2015-11-07T11:35:14Z),1,0
Jessica Lord (2015-11-07T11:36:01Z),1,0
Jessica Lord (2015-11-07T11:36:09Z),1,0
Jessica Lord (2015-11-07T11:49:01Z),1,0
Jessica Lord (2015-11-07T11:53:50Z),1,0
Mu-An Chiou (2015-11-07T11:56:34Z),1,1
Jessica Lord (2015-11-07T11:58:20Z),1,1
Jessica Lord (2015-11-07T11:58:53Z),1,1
Mu-An Chiou (2015-11-07T12:39:02Z),21,0
Jessica Lord (2015-11-07T12:39:06Z),0,0
Jessica Lord (2015-11-07T12:39:13Z),21,0
