user_date,additions,deletions
James Halliday (2013-04-20T04:05:48Z),17,6
James Halliday (2013-05-10T22:33:29Z),3,1
Peteris Krumins (2013-10-14T19:42:31Z),11,9
James Halliday (2013-10-14T20:36:10Z),0,0
James Halliday (2013-11-26T20:22:43Z),212,15
James Halliday (2013-12-04T01:59:04Z),1,1
James Halliday (2014-03-19T00:52:49Z),564,1355
James Halliday (2014-03-19T00:52:50Z),1,1
James Halliday (2014-03-19T00:52:50Z),311,2
James Halliday (2014-03-19T00:52:50Z),34,0
James Halliday (2014-03-19T00:52:50Z),34,8
James Halliday (2014-03-19T00:52:50Z),24,4
James Halliday (2014-03-19T00:52:50Z),1,0
James Halliday (2014-03-19T00:52:50Z),41,32
James Halliday (2014-03-19T00:52:51Z),4,3
James Halliday (2014-03-19T00:52:51Z),150,81
James Halliday (2014-03-19T00:52:51Z),5,0
James Halliday (2014-03-19T00:52:51Z),1,1
James Halliday (2014-03-19T00:52:51Z),3,3
James Halliday (2014-03-19T00:52:51Z),2,0
James Halliday (2014-03-19T00:52:52Z),5,4
James Halliday (2014-03-19T00:52:52Z),15,1
James Halliday (2014-03-19T00:52:52Z),2,2
James Halliday (2014-03-19T00:52:52Z),1,1
James Halliday (2014-03-19T00:52:52Z),1,1
James Halliday (2014-03-19T00:52:52Z),4,4
James Halliday (2014-03-19T00:52:52Z),38,35
James Halliday (2014-03-19T00:52:52Z),1,0
James Halliday (2014-03-19T01:13:07Z),2,2
Jessica Lord (2014-03-19T05:37:49Z),1,0
James Halliday (2012-12-31T10:28:00Z),37,6
James Halliday (2012-12-31T10:39:36Z),10,3
James Halliday (2013-01-01T08:43:00Z),6,3
James Halliday (2013-01-01T09:07:41Z),5,3
James Halliday (2013-01-01T22:33:08Z),4,1
James Halliday (2013-01-03T06:46:00Z),1,1
James Halliday (2013-01-04T00:11:13Z),2,1
James Halliday (2013-01-04T00:13:18Z),2,1
James Halliday (2013-01-04T00:15:41Z),4,0
Peteris Krumins (2013-01-04T00:17:43Z),2,1
Peteris Krumins (2013-01-04T00:20:08Z),5,1
James Halliday (2013-01-04T01:10:20Z),1474,0
Peteris Krumins (2013-01-04T15:33:18Z),1474,0
James Halliday (2013-02-22T21:08:54Z),1,1
James Halliday (2013-02-22T21:10:09Z),0,0
James Halliday (2013-02-22T21:11:44Z),1,1
Peteris Krumins (2013-02-22T21:14:41Z),1,1
Peteris Krumins (2013-02-22T21:16:10Z),1,1
James Halliday (2013-04-05T03:08:48Z),5,3
James Halliday (2013-04-05T03:20:51Z),2,2
James Halliday (2013-04-08T22:17:33Z),1,1
James Halliday (2013-04-18T02:40:12Z),4,4
James Halliday (2013-04-19T22:56:18Z),8,2
James Halliday (2013-04-19T22:57:41Z),1,0
James Halliday (2013-04-20T04:05:48Z),17,6
James Halliday (2013-05-10T22:33:29Z),3,1
Peteris Krumins (2013-10-14T19:42:31Z),11,9
James Halliday (2013-10-14T20:36:10Z),0,0
James Halliday (2013-11-26T20:22:43Z),212,15
James Halliday (2013-12-04T01:59:04Z),1,1
James Halliday (2013-04-19T22:57:41Z),1,0
James Halliday (2013-04-20T04:05:48Z),17,6
James Halliday (2013-05-10T22:33:29Z),3,1
Peteris Krumins (2013-10-14T19:42:31Z),11,9
James Halliday (2013-10-14T20:36:10Z),0,0
James Halliday (2013-11-26T20:22:43Z),212,15
James Halliday (2013-12-04T01:59:04Z),1,1
James Halliday (2014-03-19T00:52:49Z),564,1355
James Halliday (2014-03-19T00:52:50Z),1,1
James Halliday (2014-03-19T00:52:50Z),311,2
James Halliday (2014-03-19T00:52:50Z),34,0
James Halliday (2014-03-19T00:52:50Z),34,8
James Halliday (2014-03-19T00:52:50Z),24,4
James Halliday (2014-03-19T00:52:50Z),1,0
James Halliday (2014-03-19T00:52:50Z),41,32
James Halliday (2014-03-19T00:52:51Z),4,3
James Halliday (2014-03-19T00:52:51Z),150,81
James Halliday (2014-03-19T00:52:51Z),5,0
James Halliday (2014-03-19T00:52:51Z),1,1
James Halliday (2014-03-19T00:52:51Z),3,3
James Halliday (2014-03-19T00:52:51Z),2,0
James Halliday (2014-03-19T00:52:52Z),5,4
James Halliday (2014-03-19T00:52:52Z),15,1
James Halliday (2014-03-19T00:52:52Z),2,2
James Halliday (2014-03-19T00:52:52Z),1,1
James Halliday (2014-03-19T00:52:52Z),1,1
James Halliday (2014-03-19T00:52:52Z),4,4
James Halliday (2014-03-19T00:52:52Z),38,35
James Halliday (2014-03-19T00:52:52Z),1,0
James Halliday (2014-03-19T01:13:07Z),2,2
