user_date,additions,deletions
Jessica Lord (2014-09-05T05:49:06Z),4,0
Jessica Lord (2014-09-05T05:55:10Z),1,1
Jessica Lord (2014-09-05T05:59:40Z),11,0
Jessica Lord (2014-09-05T06:24:13Z),16,0
Jessica Lord (2014-09-05T06:24:25Z),13,0
Jessica Lord (2014-09-05T06:24:42Z),6,3
Jessica Lord (2014-09-05T06:25:11Z),4,0
Jessica Lord (2014-09-05T17:15:32Z),74,1
Jessica Lord (2014-09-05T17:27:46Z),34,0
Jessica Lord (2014-09-05T17:28:06Z),11,3
Jessica Lord (2014-09-05T18:22:03Z),1,1
Adam Malantonio (2014-09-06T00:17:44Z),2,1
Jessica Lord (2014-09-06T06:13:41Z),2,1
Jessica Lord (2014-09-06T06:15:08Z),1,1
Steve Klise (2014-09-10T12:35:21Z),28,7
Steve Klise (2014-09-11T00:16:21Z),19,8
Jessica Lord (2014-09-11T06:02:13Z),39,7
Jessica Lord (2014-09-14T22:54:58Z),7,39
Jessica Lord (2014-09-14T23:02:17Z),4,0
Jessica Lord (2014-09-14T23:02:49Z),1,1
Jessica Lord (2014-09-05T05:49:06Z),4,0
Jessica Lord (2014-09-05T05:55:10Z),1,1
Jessica Lord (2014-09-05T05:59:40Z),11,0
Jessica Lord (2014-09-05T06:24:13Z),16,0
Jessica Lord (2014-09-05T06:24:25Z),13,0
Jessica Lord (2014-09-05T06:24:42Z),6,3
Jessica Lord (2014-09-05T06:25:11Z),4,0
Jessica Lord (2014-09-05T17:15:32Z),74,1
Jessica Lord (2014-09-05T17:27:46Z),34,0
Jessica Lord (2014-09-05T17:28:06Z),11,3
Jessica Lord (2014-09-05T18:22:03Z),1,1
Adam Malantonio (2014-09-06T00:17:44Z),2,1
Jessica Lord (2014-09-06T06:13:41Z),2,1
Jessica Lord (2014-09-06T06:15:08Z),1,1
Jessica Lord (2014-09-07T04:02:48Z),20,2
Jessica Lord (2014-09-07T05:27:55Z),2,2
Jessica Lord (2014-09-05T05:49:06Z),4,0
Jessica Lord (2014-09-05T05:55:10Z),1,1
Jessica Lord (2014-09-05T05:59:40Z),11,0
Jessica Lord (2014-09-05T06:24:13Z),16,0
Jessica Lord (2014-09-05T06:24:25Z),13,0
Jessica Lord (2014-09-05T06:24:42Z),6,3
Jessica Lord (2014-09-05T06:25:11Z),4,0
Jessica Lord (2014-09-05T17:15:32Z),74,1
Jessica Lord (2014-09-05T17:27:46Z),34,0
Jessica Lord (2014-09-05T17:28:06Z),11,3
Jessica Lord (2014-09-05T18:22:03Z),1,1
Adam Malantonio (2014-09-06T00:17:44Z),2,1
Jessica Lord (2014-09-06T06:13:41Z),2,1
Jessica Lord (2014-09-06T06:15:08Z),1,1
Steve Klise (2014-09-10T12:35:21Z),28,7
Steve Klise (2014-09-11T00:16:21Z),19,8
Jessica Lord (2014-09-11T06:02:13Z),39,7
Jessica Lord (2014-09-14T23:05:22Z),2,0
