user_date,additions,deletions
Jessica (2012-07-11T02:35:29Z),3,0
Jessica (2012-07-11T02:37:45Z),17,0
Jessica (2012-07-11T02:37:58Z),0,0
Jessica (2012-07-11T02:37:59Z),0,0
Jessica (2012-07-11T02:38:24Z),2,2
Jessica (2012-07-11T02:39:43Z),2,0
Jessica (2012-07-11T02:44:30Z),22,2
Jessica (2012-07-11T02:47:01Z),5,5
Jessica (2012-07-11T02:47:43Z),0,0
Jessica (2012-07-11T02:50:12Z),17,0
Jessica (2012-07-11T02:51:53Z),2,0
jllord (2012-07-11T03:00:25Z),0,0
Jessica (2012-07-11T18:31:50Z),2,0
