user_date,additions,deletions
Max Ogden (2013-09-29T17:38:36Z),2,2
Max Ogden (2013-10-03T00:53:31Z),1,1
Max Ogden (2013-10-03T21:29:54Z),1,0
Max Ogden (2013-10-03T22:11:11Z),1,1
Ryan Ponce (2013-10-04T00:01:16Z),1,1
Max Ogden (2013-10-04T00:16:19Z),1,1
Ryan Ponce (2013-10-11T03:00:03Z),4,3
Ryan Ponce (2013-10-11T03:00:40Z),6,6
Ryan Ponce (2013-10-11T04:05:21Z),59,0
Ryan Ponce (2013-10-11T17:59:55Z),0,0
Ryan Ponce (2013-10-11T18:01:00Z),10,1
Ryan Ponce (2013-10-11T18:02:19Z),2,5
Ryan Ponce (2013-10-11T23:03:59Z),1,3
Max Ogden (2013-10-11T23:32:31Z),6,4
Max Ogden (2013-10-11T23:32:36Z),78,12
Max Ogden (2013-11-12T16:30:29Z),5,0
Jake Boxer (2013-11-18T20:05:55Z),3,3
Max Ogden (2013-11-19T00:17:06Z),3,3
Max Ogden (2014-04-01T20:19:08Z),24,7
Max Ogden (2014-04-01T20:20:41Z),1,1
Max Ogden (2014-04-02T17:10:00Z),2,2
Max Ogden (2014-04-03T05:21:05Z),2082,2
Max Ogden (2014-04-03T05:44:20Z),34,1
Max Ogden (2014-04-03T06:49:13Z),24,27
Max Ogden (2014-04-03T17:17:49Z),6,0
Arfon Smith (2014-04-03T17:35:12Z),2,2
Max Ogden (2014-04-03T17:45:33Z),2,2
Max Ogden (2014-04-03T17:48:27Z),1,0
Max Ogden (2014-04-07T00:48:52Z),12,4
Jessica Lord (2014-04-08T04:07:03Z),40,21
Kyle Robinson Young (2013-09-29T17:36:19Z),2,2
Max Ogden (2013-09-29T17:38:36Z),2,2
Max Ogden (2013-10-03T00:53:31Z),1,1
Max Ogden (2013-10-03T21:29:54Z),1,0
Max Ogden (2013-10-03T22:11:11Z),1,1
Ryan Ponce (2013-10-04T00:01:16Z),1,1
Max Ogden (2013-10-04T00:16:19Z),1,1
Ryan Ponce (2013-10-11T03:00:03Z),4,3
Ryan Ponce (2013-10-11T03:00:40Z),6,6
Ryan Ponce (2013-10-11T04:05:21Z),59,0
Ryan Ponce (2013-10-11T17:59:55Z),0,0
Ryan Ponce (2013-10-11T18:01:00Z),10,1
Ryan Ponce (2013-10-11T18:02:19Z),2,5
Ryan Ponce (2013-10-11T23:03:59Z),1,3
Max Ogden (2013-10-11T23:32:31Z),6,4
Max Ogden (2013-10-11T23:32:36Z),78,12
Max Ogden (2013-11-12T16:30:29Z),5,0
Jake Boxer (2013-11-18T20:05:55Z),3,3
Max Ogden (2013-11-19T00:17:06Z),3,3
Max Ogden (2014-04-01T20:19:08Z),24,7
Max Ogden (2014-04-01T20:20:41Z),1,1
Max Ogden (2014-04-02T17:10:00Z),2,2
Max Ogden (2014-04-03T05:21:05Z),2082,2
Max Ogden (2014-04-03T05:44:20Z),34,1
Max Ogden (2014-04-03T06:49:13Z),24,27
Max Ogden (2014-04-03T17:17:49Z),6,0
Arfon Smith (2014-04-03T17:35:12Z),2,2
Max Ogden (2014-04-03T17:45:33Z),2,2
Max Ogden (2014-04-03T17:48:27Z),1,0
Max Ogden (2014-04-07T00:48:52Z),12,4
