user_date,additions,deletions
Max Ogden (2011-07-11T18:55:10Z),2,2
Max Ogden (2011-07-11T20:48:05Z),12,5
Max Ogden (2011-07-12T01:58:17Z),2,0
Max Ogden (2011-07-12T08:06:55Z),1,1
Max Ogden (2011-08-05T02:45:03Z),137,73
Max Ogden (2011-08-05T22:02:43Z),213,36
Max Ogden (2011-08-05T22:19:16Z),15,1
Max Ogden (2011-08-06T17:18:58Z),89,4
Max Ogden (2011-08-06T17:23:13Z),1,1
Max Ogden (2011-08-17T22:12:18Z),26,7
Max Ogden (2011-08-17T22:17:55Z),21,21
Max Ogden (2011-10-18T06:42:17Z),64,26
Max Ogden (2011-11-13T02:59:10Z),37,25
Max Ogden (2011-11-13T03:26:34Z),5,5
Max Ogden (2011-11-13T17:33:53Z),45,34
Max Ogden (2011-11-13T17:34:08Z),2,2
Brian T. Rice (2011-12-03T20:08:00Z),20,20
Brian T. Rice (2011-12-03T20:20:16Z),123,123
Brian T. Rice (2011-12-03T20:55:05Z),16,16
Brian T. Rice (2011-12-03T21:17:06Z),3,4
Brian T. Rice (2011-12-03T21:51:32Z),20,14
Randall Leeds (2011-12-03T22:38:08Z),7,2
Randall Leeds (2011-12-03T22:38:17Z),6,6
Randall Leeds (2011-12-03T22:45:36Z),1,1
Max Ogden (2012-07-21T21:16:37Z),7,22
Max Ogden (2012-07-21T21:18:38Z),1,1
Max Ogden (2012-07-21T21:50:25Z),54,37
jllord (2012-07-21T22:12:11Z),6453,0
jllord (2012-07-21T22:23:13Z),0,0
jllord (2012-07-21T23:13:23Z),0,0
