user_date,additions,deletions
Jessica Lord (2013-07-19T20:16:00Z),4,0
jlord (2013-07-19T21:03:35Z),13,3
jlord (2013-07-19T21:28:41Z),13,6
jlord (2013-07-19T21:29:35Z),4,4
jlord (2013-07-19T21:30:56Z),4,4
jlord (2013-07-19T21:39:03Z),9,6
jlord (2013-07-19T21:51:11Z),1,1
jlord (2013-07-19T22:02:34Z),16,2
jlord (2013-07-19T22:05:13Z),2,2
Jessica Lord (2013-07-22T16:42:30Z),23,0
Jessica Lord (2013-07-22T16:44:50Z),3,1
Jessica Lord (2013-07-22T16:57:11Z),13,0
Jessica Lord (2013-07-22T16:57:35Z),1,1
Jessica Lord (2013-07-23T04:05:52Z),2,0
