user_date,additions,deletions
deepak1556 (2015-05-27T11:09:02Z),5,2
Jessica Lord (2015-05-27T19:51:19Z),2,2
Jessica Lord (2015-05-27T21:37:17Z),2,2
deepak1556 (2015-05-28T05:50:07Z),1,1
Cheng Zhao (2015-05-28T06:43:15Z),1,1
Cheng Zhao (2015-05-28T06:43:16Z),3,3
Cheng Zhao (2015-05-28T06:44:46Z),1,1
Cheng Zhao (2015-05-28T07:29:36Z),72,6
Cheng Zhao (2015-05-28T08:03:06Z),5,2
Cheng Zhao (2015-05-28T08:22:36Z),5,2
Cheng Zhao (2015-05-28T08:22:45Z),5,2
Cheng Zhao (2015-05-28T08:23:29Z),7,7
Cheng Zhao (2015-05-29T03:12:55Z),126,28
Cheng Zhao (2015-05-29T03:20:28Z),0,7
Cheng Zhao (2015-05-29T03:47:54Z),26,15
Cheng Zhao (2015-05-29T05:47:09Z),104,8
Cheng Zhao (2015-05-29T05:52:14Z),0,16
Cheng Zhao (2015-05-29T06:14:23Z),251,69
Cheng Zhao (2015-05-29T09:52:46Z),2,2
Cheng Zhao (2015-05-29T10:14:59Z),0,1
Cheng Zhao (2015-05-29T10:21:25Z),0,24
Cheng Zhao (2015-05-29T14:20:20Z),5,6
Cheng Zhao (2015-06-01T02:13:33Z),1,1
Cheng Zhao (2015-06-01T04:19:56Z),1,1
Cheng Zhao (2015-06-01T04:22:36Z),7,7
Cheng Zhao (2015-06-01T04:53:43Z),5,2
Haojian Wu (2015-06-01T05:03:56Z),1,0
Cheng Zhao (2015-06-01T05:25:31Z),1,0
Cheng Zhao (2015-06-02T06:28:45Z),15,8
Cheng Zhao (2015-06-03T01:52:31Z),27,0
Cheng Zhao (2015-06-17T03:22:02Z),20,8
Cheng Zhao (2015-06-17T03:30:31Z),6,0
Cheng Zhao (2015-06-17T03:32:39Z),10,1
Cheng Zhao (2015-06-17T03:34:47Z),7,3
Cheng Zhao (2015-06-17T04:00:26Z),317,4
Cheng Zhao (2015-06-17T04:22:56Z),1149,63
Cheng Zhao (2015-06-17T04:38:36Z),1,1
Cheng Zhao (2015-06-17T07:52:49Z),1,0
deepak1556 (2015-06-17T09:13:04Z),47,0
Cheng Zhao (2015-06-18T04:42:02Z),1,1
Cheng Zhao (2015-06-18T04:59:13Z),2,20
Cheng Zhao (2015-06-18T05:09:02Z),5,10
Cheng Zhao (2015-06-18T05:15:13Z),7,7
deepak1556 (2015-06-18T05:59:08Z),40,1
Cheng Zhao (2015-06-18T07:55:59Z),40,1
Cheng Zhao (2015-06-18T08:17:13Z),4,0
Cheng Zhao (2015-06-18T08:31:55Z),3,3
Cheng Zhao (2015-06-18T08:34:02Z),9,8
