user_date,additions,deletions
Jessica Lord (2017-01-10T00:28:28Z),22,0
Jessica Lord (2017-01-10T06:54:23Z),41,1
Jessica Lord (2017-01-10T06:54:42Z),25396,0
Jessica Lord (2017-01-10T06:55:33Z),3,0
Jessica Lord (2017-01-10T06:55:52Z),64,0
Jessica Lord (2017-01-10T07:09:33Z),78,0
Jessica Lord (2017-01-10T17:02:59Z),1,1
Jessica Lord (2017-01-10T17:20:17Z),7,2
Jessica Lord (2017-01-10T17:52:44Z),10,1
Jessica Lord (2017-01-10T18:01:24Z),0,0
Jessica Lord (2017-01-10T18:01:45Z),1,2
Jessica Lord (2017-01-10T18:01:58Z),5,2
Jessica Lord (2017-01-10T19:36:31Z),1,1
GitHub (2017-01-10T19:50:29Z),1,1
Jessica Lord (2017-01-10T20:23:28Z),9,0
Jessica Lord (2017-01-11T19:15:30Z),5,1
Jessica Lord (2017-01-11T19:16:23Z),2,2
Jessica Lord (2017-01-11T19:25:27Z),2,1
Jessica Lord (2017-01-11T19:28:22Z),1,1
Monica Dinculescu (2017-01-11T19:28:32Z),36,4
GitHub (2017-01-11T19:31:57Z),36,4
GitHub (2017-01-11T19:35:41Z),53,7
GitHub (2017-01-11T19:35:49Z),1,1
Jessica Lord (2017-01-11T20:03:00Z),1,1
Jessica Lord (2017-01-10T00:28:28Z),22,0
Jessica Lord (2017-01-10T06:54:23Z),41,1
Jessica Lord (2017-01-10T06:54:42Z),25396,0
Jessica Lord (2017-01-10T06:55:33Z),3,0
Jessica Lord (2017-01-10T06:55:52Z),64,0
Jessica Lord (2017-01-10T07:09:33Z),78,0
Jessica Lord (2017-01-10T17:02:59Z),1,1
Jessica Lord (2017-01-10T17:20:17Z),7,2
Jessica Lord (2017-01-10T17:39:33Z),4,2
Jessica Lord (2017-01-10T17:39:46Z),9,1
Jessica Lord (2017-01-10T00:28:28Z),22,0
Jessica Lord (2017-01-10T06:54:23Z),41,1
Jessica Lord (2017-01-10T06:54:42Z),25396,0
Jessica Lord (2017-01-10T06:55:33Z),3,0
Jessica Lord (2017-01-10T06:55:52Z),64,0
Jessica Lord (2017-01-10T07:09:33Z),78,0
Jessica Lord (2017-01-10T17:02:59Z),1,1
Jessica Lord (2017-01-10T17:20:17Z),7,2
