user_date,additions,deletions
Evan Moran (2013-07-09T19:42:35Z),17,0
Evan Moran (2013-07-09T19:45:38Z),2,2
Carter Rabasa (2013-07-09T19:56:06Z),17,0
Charles Bihis (2013-07-10T02:13:38Z),28,0
Charles Bihis (2013-07-10T02:18:45Z),2,2
Charles Bihis (2013-07-10T02:28:19Z),2,0
Carter Rabasa (2013-07-10T16:27:21Z),5,1
Carter Rabasa (2013-07-10T17:47:52Z),30,0
Tomasz Janczuk (2013-07-12T08:16:02Z),23,0
Carter Rabasa (2013-07-12T17:15:47Z),23,0
Bryce Baril (2013-07-13T02:22:04Z),32,0
Carter Rabasa (2013-07-13T02:27:54Z),32,0
Todd Wolfson (2013-07-14T11:01:13Z),23,0
Carter Rabasa (2013-07-14T13:54:32Z),23,0
Andrew Eisenberg (2013-07-19T04:46:09Z),34,0
Alan (2013-07-20T05:55:21Z),4,4
Jonathan Lipps (2013-07-22T01:46:01Z),42,0
Jonathan Lipps (2013-07-22T01:49:16Z),3,2
Carter Rabasa (2013-07-22T17:00:01Z),43,0
Carter Rabasa (2013-07-22T17:00:20Z),4,4
Carter Rabasa (2013-07-22T17:00:33Z),34,0
Nathan Vander Wilt (2013-07-23T21:48:31Z),26,0
Nathan Vander Wilt (2013-07-23T22:01:32Z),7,7
Nathan Vander Wilt (2013-07-23T22:10:56Z),4,5
Nathan Vander Wilt (2013-07-23T22:11:56Z),2,2
Nathan Vander Wilt (2013-07-23T22:15:19Z),2,1
Nathan Vander Wilt (2013-07-23T22:18:02Z),1,1
Nathan Vander Wilt (2013-07-23T22:23:07Z),0,0
Nathan Vander Wilt (2013-07-23T22:23:29Z),5,4
Nathan Vander Wilt (2013-08-06T19:10:40Z),25,0
Carter Rabasa (2013-07-09T16:58:04Z),29,0
Evan Moran (2013-07-09T19:42:35Z),17,0
Evan Moran (2013-07-09T19:45:38Z),2,2
Carter Rabasa (2013-07-09T19:56:06Z),17,0
Charles Bihis (2013-07-10T02:13:38Z),28,0
Charles Bihis (2013-07-10T02:18:45Z),2,2
Charles Bihis (2013-07-10T02:28:19Z),2,0
Carter Rabasa (2013-07-10T16:27:21Z),5,1
Carter Rabasa (2013-07-10T17:47:52Z),30,0
Tomasz Janczuk (2013-07-12T08:16:02Z),23,0
Carter Rabasa (2013-07-12T17:15:47Z),23,0
Bryce Baril (2013-07-13T02:22:04Z),32,0
Carter Rabasa (2013-07-13T02:27:54Z),32,0
Todd Wolfson (2013-07-14T11:01:13Z),23,0
Carter Rabasa (2013-07-14T13:54:32Z),23,0
Andrew Eisenberg (2013-07-19T04:46:09Z),34,0
Alan (2013-07-20T05:55:21Z),4,4
Jonathan Lipps (2013-07-22T01:46:01Z),42,0
Jonathan Lipps (2013-07-22T01:49:16Z),3,2
Carter Rabasa (2013-07-22T17:00:01Z),43,0
Carter Rabasa (2013-07-22T17:00:20Z),4,4
Carter Rabasa (2013-07-22T17:00:33Z),34,0
Nathan Vander Wilt (2013-07-23T21:48:31Z),26,0
Nathan Vander Wilt (2013-07-23T22:01:32Z),7,7
Nathan Vander Wilt (2013-07-23T22:10:56Z),4,5
Nathan Vander Wilt (2013-07-23T22:11:56Z),2,2
Nathan Vander Wilt (2013-07-23T22:15:19Z),2,1
Nathan Vander Wilt (2013-07-23T22:18:02Z),1,1
Nathan Vander Wilt (2013-07-23T22:23:07Z),0,0
Nathan Vander Wilt (2013-07-23T22:23:29Z),5,4
Carter Rabasa (2013-05-31T18:33:44Z),2,0
Carter Rabasa (2013-05-31T18:34:55Z),46,2
Carter Rabasa (2013-05-31T18:35:48Z),28,46
Carter Rabasa (2013-05-31T18:36:51Z),1,0
Carter Rabasa (2013-07-08T16:20:12Z),1,1
Carter Rabasa (2013-07-08T16:46:48Z),1,2
Carter Rabasa (2013-07-08T17:34:03Z),1,1
Carter Rabasa (2013-07-08T18:29:33Z),1,1
Carter Rabasa (2013-07-08T20:34:46Z),0,0
Carter Rabasa (2013-07-08T20:39:37Z),0,0
Carter Rabasa (2013-07-08T21:14:38Z),0,0
Carter Rabasa (2013-07-08T23:31:51Z),10,9
Carter Rabasa (2013-07-09T20:09:59Z),0,0
Carter Rabasa (2013-07-10T20:20:31Z),31,2
