user_date,additions,deletions
Nathan Vander Wilt (2014-04-28T21:37:41Z),770,0
Nathan Vander Wilt (2014-04-28T22:37:20Z),79,51
Nathan Vander Wilt (2014-04-28T22:55:45Z),7,10
Nathan Vander Wilt (2014-04-29T00:17:16Z),16,0
Nathan Vander Wilt (2014-04-29T23:53:24Z),47,4
Nathan Vander Wilt (2014-04-30T00:37:47Z),14,1
Nathan Vander Wilt (2014-04-30T00:40:53Z),2,2
Nathan Vander Wilt (2014-04-30T23:38:15Z),8,5
Nathan Vander Wilt (2014-05-01T00:11:18Z),48,1
Nathan Vander Wilt (2014-05-01T00:28:25Z),6,7
Nathan Vander Wilt (2014-05-01T00:34:43Z),3,1
Nathan Vander Wilt (2014-05-01T19:32:14Z),0,1
Nathan Vander Wilt (2014-05-15T17:41:52Z),15,8
Chris Anderson (2014-05-18T18:13:10Z),2,2
Chris Anderson (2014-05-18T18:13:33Z),30,30
Nathan Vander Wilt (2014-05-19T15:54:41Z),32,32
Nathan Vander Wilt (2014-05-19T17:51:00Z),2,2
Nathan Vander Wilt (2014-05-19T18:30:17Z),47,8
Nathan Vander Wilt (2014-05-19T19:48:34Z),1956,39
Chris Anderson (2014-05-20T02:46:05Z),6,2
Chris Anderson (2014-05-20T03:14:56Z),28,30
Nathan Vander Wilt (2014-05-20T04:12:22Z),34,32
Nathan Vander Wilt (2014-05-20T04:22:29Z),1,1
Nathan Vander Wilt (2014-05-20T04:22:39Z),0,5
Nathan Vander Wilt (2014-05-20T17:45:21Z),35,9
