user_date,additions,deletions
Nathan Vander Wilt (2014-05-09T23:03:33Z),20,5
Nathan Vander Wilt (2014-05-09T23:06:12Z),13,7
Nathan Vander Wilt (2014-05-11T02:13:57Z),1,1
Chris Anderson (2014-05-13T03:09:22Z),1,1
Chris Anderson (2014-05-13T03:19:28Z),6,6
Chris Anderson (2014-05-13T03:45:00Z),1,1
Chris Anderson (2014-05-13T04:12:01Z),15,14
Chris Anderson (2014-05-13T04:26:13Z),7,6
Chris Anderson (2014-05-13T04:26:46Z),1,1
Chris Anderson (2014-05-13T05:13:14Z),24,1
Chris Anderson (2014-05-13T05:40:36Z),1943,8
Chris Anderson (2014-05-13T05:41:58Z),12,21
Chris Anderson (2014-05-13T17:39:13Z),11,0
Chris Anderson (2014-05-13T17:43:42Z),10029,4617
Nathan Vander Wilt (2014-05-14T18:01:37Z),5,1
Nathan Vander Wilt (2014-05-16T18:23:51Z),2000,38
Nathan Vander Wilt (2014-05-16T19:46:41Z),3,3
Nathan Vander Wilt (2014-05-16T19:47:56Z),5,0
Nathan Vander Wilt (2014-05-16T21:48:37Z),7,1
Nathan Vander Wilt (2014-05-16T21:49:27Z),1,1
Nathan Vander Wilt (2014-05-16T22:01:38Z),14,5
Nathan Vander Wilt (2014-05-16T22:52:09Z),47,38
Nathan Vander Wilt (2014-05-16T23:09:39Z),15,16
Chris Anderson (2014-05-20T03:43:31Z),4,2
Chris Anderson (2014-05-20T03:43:56Z),5,5
Chris Anderson (2014-05-20T03:44:21Z),5,1
Nathan Vander Wilt (2014-05-20T04:14:01Z),14,8
Nathan Vander Wilt (2014-05-20T04:23:00Z),3,3
Nathan Vander Wilt (2014-05-20T04:29:08Z),2,2
Nathan Vander Wilt (2014-05-20T21:45:15Z),2,0
