user_date,additions,deletions
Calvin Metcalf (2014-02-15T13:40:51Z),5,9
Calvin Metcalf (2014-02-15T13:40:58Z),1,1
Max Ogden (2014-02-15T15:26:17Z),27,5
Max Ogden (2014-02-15T15:30:55Z),5,2
Max Ogden (2014-02-15T20:25:50Z),82,0
Calvin Metcalf (2014-02-16T01:09:41Z),32,7
Calvin Metcalf (2014-02-16T01:10:04Z),82,0
Calvin Metcalf (2014-02-16T02:19:59Z),111,46
Calvin Metcalf (2014-02-16T02:20:06Z),4,2
Calvin Metcalf (2014-02-16T14:51:36Z),58,0
Calvin Metcalf (2014-02-16T14:51:42Z),1,1
Max Ogden (2014-02-16T18:40:06Z),9,8
Calvin Metcalf (2014-02-16T18:50:25Z),3,3
Calvin Metcalf (2014-02-16T18:50:28Z),1,1
Calvin Metcalf (2014-02-17T15:25:41Z),37,13
Calvin Metcalf (2014-02-17T15:25:47Z),1,1
Calvin Metcalf (2014-02-17T23:48:25Z),67,5
Calvin Metcalf (2014-02-17T23:48:45Z),1,1
Calvin Metcalf (2014-02-18T01:14:21Z),23,0
Calvin Metcalf (2014-02-18T01:18:44Z),6,0
Calvin Metcalf (2014-02-18T01:18:48Z),1,1
Calvin Metcalf (2014-02-18T03:30:39Z),89,36
Calvin Metcalf (2014-02-18T03:30:45Z),1,1
Calvin Metcalf (2014-02-18T12:46:10Z),103,118
Calvin Metcalf (2014-02-18T12:46:18Z),1,1
Max Ogden (2014-02-18T19:22:40Z),6,2
Calvin Metcalf (2014-02-18T19:59:00Z),3,15
Calvin Metcalf (2014-02-18T19:59:07Z),1,1
Calvin Metcalf (2014-02-18T20:00:06Z),6,2
Nathan Vander Wilt (2014-05-29T21:21:22Z),1,1
Calvin Metcalf (2014-02-15T01:06:24Z),1,1
Calvin Metcalf (2014-02-15T13:40:51Z),5,9
Calvin Metcalf (2014-02-15T13:40:58Z),1,1
Max Ogden (2014-02-15T15:26:17Z),27,5
Max Ogden (2014-02-15T15:30:55Z),5,2
Max Ogden (2014-02-15T20:25:50Z),82,0
Calvin Metcalf (2014-02-16T01:09:41Z),32,7
Calvin Metcalf (2014-02-16T01:10:04Z),82,0
Calvin Metcalf (2014-02-16T02:19:59Z),111,46
Calvin Metcalf (2014-02-16T02:20:06Z),4,2
Calvin Metcalf (2014-02-16T14:51:36Z),58,0
Calvin Metcalf (2014-02-16T14:51:42Z),1,1
Max Ogden (2014-02-16T18:40:06Z),9,8
Calvin Metcalf (2014-02-16T18:50:25Z),3,3
Calvin Metcalf (2014-02-16T18:50:28Z),1,1
Calvin Metcalf (2014-02-17T15:25:41Z),37,13
Calvin Metcalf (2014-02-17T15:25:47Z),1,1
Calvin Metcalf (2014-02-17T23:48:25Z),67,5
Calvin Metcalf (2014-02-17T23:48:45Z),1,1
Calvin Metcalf (2014-02-18T01:14:21Z),23,0
Calvin Metcalf (2014-02-18T01:18:44Z),6,0
Calvin Metcalf (2014-02-18T01:18:48Z),1,1
Calvin Metcalf (2014-02-18T03:30:39Z),89,36
Calvin Metcalf (2014-02-18T03:30:45Z),1,1
Calvin Metcalf (2014-02-18T12:46:10Z),103,118
Calvin Metcalf (2014-02-18T12:46:18Z),1,1
Max Ogden (2014-02-18T19:22:40Z),6,2
Calvin Metcalf (2014-02-18T19:59:00Z),3,15
Calvin Metcalf (2014-02-18T19:59:07Z),1,1
Calvin Metcalf (2014-02-18T20:00:06Z),6,2
