user_date,additions,deletions
Mike Bostock (2011-06-17T04:09:41Z),122,36
Mike Bostock (2011-06-17T04:11:31Z),9,2
Mike Bostock (2011-06-17T04:12:37Z),502,51
Jason Davies (2011-06-17T13:42:23Z),41,10
Jason Davies (2011-06-17T17:34:49Z),508,1
Jason Davies (2011-06-17T17:39:56Z),2,11
Jason Davies (2011-06-17T20:18:40Z),66,18
Jason Davies (2011-06-18T10:19:06Z),28,0
Jason Davies (2011-06-22T08:11:23Z),168,33
Mike Bostock (2011-06-22T16:46:52Z),164,189
Mike Bostock (2011-06-22T17:25:57Z),10,4
Jason Davies (2011-06-22T17:56:58Z),23,2
Jason Davies (2011-06-22T18:54:43Z),2,23
Jason Davies (2011-06-22T19:03:49Z),15,5
Mike Bostock (2011-06-22T20:17:18Z),94,11
Mike Bostock (2011-06-22T21:33:34Z),51,12
Mike Bostock (2011-06-22T23:42:14Z),4,14
Mike Bostock (2011-06-22T23:49:01Z),1,1
Mike Bostock (2011-06-23T00:09:31Z),57,72
Mike Bostock (2011-06-23T17:40:39Z),7,7
Mike Bostock (2011-06-23T18:28:55Z),56,70
Mike Bostock (2011-06-24T02:45:23Z),139,119
Mike Bostock (2011-06-24T02:52:09Z),4,12
Mike Bostock (2011-06-24T02:53:28Z),41,10
Mike Bostock (2011-06-24T03:03:27Z),99,39
Mike Bostock (2011-06-24T03:17:06Z),720,13
Mike Bostock (2011-06-24T03:49:33Z),107,66
Mike Bostock (2011-06-24T03:50:36Z),895,64
Mike Bostock (2011-06-24T03:52:17Z),1091,164
Mike Bostock (2011-06-24T22:14:11Z),236,1
Jason Davies (2011-06-04T19:15:07Z),154,175
Mike Bostock (2011-06-04T20:14:23Z),88,0
Mike Bostock (2011-06-04T21:12:29Z),231,194
Mike Bostock (2011-06-04T21:29:11Z),49,13
Mike Bostock (2011-06-04T21:34:50Z),33,61
Jason Davies (2011-06-04T21:53:25Z),1,5
Mike Bostock (2011-06-04T21:58:00Z),80,54
Jason Davies (2011-06-04T22:04:05Z),80,54
Jason Davies (2011-06-04T22:07:02Z),19,113
Mike Bostock (2011-06-04T22:20:56Z),1,0
Mike Bostock (2011-06-04T22:21:36Z),19,117
Jason Davies (2011-06-04T22:53:07Z),498,1
Jason Davies (2011-06-04T23:02:42Z),372,332
Jason Davies (2011-06-04T23:20:57Z),9,9
Jason Davies (2011-06-04T23:23:28Z),9,9
Jason Davies (2011-06-04T23:31:19Z),24,16
Mike Bostock (2011-06-04T23:51:27Z),9,9
Mike Bostock (2011-06-04T23:52:10Z),1,0
Jason Davies (2011-06-05T06:53:09Z),3,3
Jason Davies (2011-06-05T06:57:21Z),7,3
Jason Davies (2011-06-05T07:02:44Z),1,0
Jason Davies (2011-06-05T07:43:00Z),19,29
Jason Davies (2011-06-05T08:00:33Z),23,15
Jason Davies (2011-06-05T09:45:19Z),8,8
Mike Bostock (2011-06-05T19:46:24Z),34,44
Mike Bostock (2011-06-05T20:47:56Z),12,8
Mike Bostock (2011-06-05T21:17:44Z),210,180
Mike Bostock (2011-06-05T21:32:27Z),56,171
Mike Bostock (2011-06-05T21:39:07Z),77,49
Mike Bostock (2011-06-05T23:56:17Z),353,338
Mike Bostock (2011-05-22T00:26:29Z),428,58
Mike Bostock (2011-05-22T00:29:05Z),1193,89
Jason Davies (2011-05-22T09:22:28Z),8,8
Mike Bostock (2011-05-22T18:26:46Z),263,160
Mike Bostock (2011-05-26T07:10:14Z),97,27
Mike Bostock (2011-05-27T04:15:28Z),52,53
Jason Davies (2011-05-27T08:36:36Z),40,2
Jason Davies (2011-05-27T19:50:27Z),41,12
Mike Bostock (2011-05-27T21:46:59Z),23,23
Mike Bostock (2011-05-27T21:54:15Z),8,8
Mike Bostock (2011-05-27T21:54:56Z),69,2
Mike Bostock (2011-05-27T21:58:06Z),488,80
Mike Bostock (2011-05-27T22:48:54Z),18,11
Mike Bostock (2011-05-28T05:26:29Z),21,5
Mike Bostock (2011-05-28T07:13:53Z),137,134
Mike Bostock (2011-05-29T05:57:18Z),4579,836
Jason Davies (2011-05-30T08:38:17Z),66,10
Jason Davies (2011-05-30T08:45:27Z),38,14
Jason Davies (2011-05-30T09:09:53Z),51,27
Mike Bostock (2011-05-30T16:10:13Z),24,10
Mike Bostock (2011-05-30T16:22:28Z),21,21
Mike Bostock (2011-05-30T16:23:39Z),116,22
Mike Bostock (2011-05-30T16:23:45Z),51,27
Mike Bostock (2011-05-30T16:26:23Z),753,144
Mike Bostock (2011-05-30T16:29:34Z),753,144
Mike Bostock (2011-05-30T16:31:19Z),251,4
Mike Bostock (2011-05-30T20:43:18Z),126,66
Mike Bostock (2011-06-02T19:17:41Z),134,0
Mike Bostock (2011-06-03T06:25:28Z),141,2
Mike Bostock (2011-06-04T20:09:41Z),106,40
Mike Bostock (2014-01-10T00:37:18Z),10,5
Mike Bostock (2014-01-10T00:38:12Z),10,5
Mike Bostock (2014-01-10T00:43:32Z),164,56
Mike Bostock (2014-01-10T00:44:43Z),3,3
Mike Bostock (2014-01-10T05:40:47Z),9,10
Mike Bostock (2014-01-10T17:52:03Z),4,4
Jason Davies (2014-01-10T22:18:17Z),1,1
Mike Bostock (2014-01-13T19:42:04Z),32,44
kmindi (2014-01-14T23:02:33Z),20,0
kmindi (2014-01-14T23:15:26Z),1,2
kmindi (2014-01-15T07:14:28Z),1,1
Mike Bostock (2014-01-15T22:34:25Z),1,1
Mike Bostock (2014-01-16T17:57:14Z),19,0
Jesus Magana (2014-01-21T02:51:51Z),1,0
Mike Bostock (2014-01-21T16:10:09Z),1,0
PatrickJS (2014-02-03T10:04:15Z),1,1
jbblanchet (2014-02-11T19:33:51Z),4,2
jbblanchet (2014-02-12T02:29:15Z),5,0
Mike Bostock (2014-02-18T16:14:25Z),1,1
Mike Bostock (2014-02-18T16:19:56Z),9,2
Mike Bostock (2014-02-18T16:38:48Z),29,9
Mike Bostock (2014-02-18T16:39:33Z),38,11
Jason Davies (2014-02-27T00:29:52Z),16,12
Mike Bostock (2014-02-27T15:50:18Z),21,17
Mike Bostock (2014-03-09T18:14:50Z),1,1
Alexander WU (2014-03-13T13:30:06Z),16,0
Mike Bostock (2014-03-13T15:07:42Z),16,0
Fabricio Tavares de Oliveira (2014-03-17T13:11:34Z),136,0
Mike Bostock (2014-03-17T15:10:35Z),136,0
Nathan Vander Wilt (2014-03-19T21:50:52Z),29,9
Mike Bostock (2015-02-07T16:13:36Z),1,1
Mike Bostock (2015-02-07T16:20:24Z),3,1
Mike Bostock (2015-02-07T16:21:51Z),3,0
Mike Bostock (2015-02-07T16:29:07Z),20,4
Mike Bostock (2015-02-07T16:33:21Z),5,5
Mike Bostock (2015-02-07T16:34:36Z),1,1
Mike Bostock (2015-02-07T16:40:09Z),12,4
Mike Bostock (2015-02-07T16:41:44Z),23,8
Mike Bostock (2015-02-07T16:43:36Z),16,0
Mike Bostock (2015-02-07T16:46:43Z),16,0
Mike Bostock (2015-02-07T18:56:17Z),0,3
Mike Bostock (2015-02-07T20:00:21Z),6,6
Mike Bostock (2015-02-07T20:31:21Z),327,223
Mike Bostock (2015-02-08T17:20:49Z),40,1
Mike Bostock (2015-02-08T18:20:33Z),1,1
Mike Bostock (2015-02-08T18:27:47Z),5,0
Mike Bostock (2015-02-08T19:29:21Z),1,1
Mike Bostock (2015-02-08T19:29:34Z),1,1
Mike Bostock (2015-02-10T16:33:30Z),95,14
Mike Bostock (2015-02-10T16:36:27Z),5,1
Mike Bostock (2015-02-10T16:41:56Z),1,1
William Wung (2015-02-11T07:00:17Z),1,1
Mike Bostock (2015-02-12T03:10:24Z),1,1
Jonathan Huang (2015-02-12T23:10:10Z),1,1
Jonathan Huang (2015-02-12T23:17:34Z),1,1
Jonathan Huang (2015-02-13T06:30:56Z),1,1
Jonathan Huang (2015-04-06T21:49:16Z),1,1
Mike Bostock (2015-04-06T22:28:16Z),1,1
Nathan Vander Wilt (2015-05-04T20:43:20Z),11,1
Nathan Vander Wilt (2015-05-04T20:47:16Z),17,7
Mike Bostock (2015-02-07T16:10:12Z),3,3
Mike Bostock (2015-02-07T16:13:36Z),1,1
Mike Bostock (2015-02-07T16:20:24Z),3,1
Mike Bostock (2015-02-07T16:21:51Z),3,0
Mike Bostock (2015-02-07T16:29:07Z),20,4
Mike Bostock (2015-02-07T16:33:21Z),5,5
Mike Bostock (2015-02-07T16:34:36Z),1,1
Mike Bostock (2015-02-07T16:40:09Z),12,4
Mike Bostock (2015-02-07T16:41:44Z),23,8
Mike Bostock (2015-02-07T16:43:36Z),16,0
Mike Bostock (2015-02-07T16:46:43Z),16,0
Mike Bostock (2015-02-07T18:56:17Z),0,3
Mike Bostock (2015-02-07T20:00:21Z),6,6
Mike Bostock (2015-02-07T20:31:21Z),327,223
Mike Bostock (2015-02-08T17:20:49Z),40,1
Mike Bostock (2015-02-08T18:20:33Z),1,1
Mike Bostock (2015-02-08T18:27:47Z),5,0
Mike Bostock (2015-02-08T19:29:21Z),1,1
Mike Bostock (2015-02-08T19:29:34Z),1,1
Mike Bostock (2015-02-10T16:33:30Z),95,14
Mike Bostock (2015-02-10T16:36:27Z),5,1
Mike Bostock (2015-02-10T16:41:56Z),1,1
William Wung (2015-02-11T07:00:17Z),1,1
Mike Bostock (2015-02-12T03:10:24Z),1,1
Jonathan Huang (2015-02-12T23:10:10Z),1,1
Jonathan Huang (2015-02-12T23:17:34Z),1,1
Jonathan Huang (2015-02-13T06:30:56Z),1,1
Jonathan Huang (2015-04-06T21:49:16Z),1,1
Mike Bostock (2015-04-06T22:28:16Z),1,1
Nathan Vander Wilt (2015-05-04T19:16:53Z),29,20
Alex Simoes (2015-02-05T16:34:11Z),1,1
Wil Gieseler (2015-02-06T00:16:33Z),15,1
Wil Gieseler (2015-02-06T00:17:20Z),8,6
Mike Bostock (2015-02-07T06:41:51Z),261,201
Jason Davies (2015-02-07T13:47:33Z),7,7
Mike Bostock (2015-02-07T16:10:12Z),3,3
Mike Bostock (2015-02-07T16:13:36Z),1,1
Mike Bostock (2015-02-07T16:20:24Z),3,1
Mike Bostock (2015-02-07T16:21:51Z),3,0
Mike Bostock (2015-02-07T16:29:07Z),20,4
Mike Bostock (2015-02-07T16:33:21Z),5,5
Mike Bostock (2015-02-07T16:34:36Z),1,1
Mike Bostock (2015-02-07T16:40:09Z),12,4
Mike Bostock (2015-02-07T16:41:44Z),23,8
Mike Bostock (2015-02-07T16:43:36Z),16,0
Mike Bostock (2015-02-07T16:46:43Z),16,0
Mike Bostock (2015-02-07T18:56:17Z),0,3
Mike Bostock (2015-02-07T20:00:21Z),6,6
Mike Bostock (2015-02-07T20:31:21Z),327,223
Mike Bostock (2015-02-08T17:20:49Z),40,1
Mike Bostock (2015-02-08T18:20:33Z),1,1
Mike Bostock (2015-02-08T18:27:47Z),5,0
Mike Bostock (2015-02-08T19:29:21Z),1,1
Mike Bostock (2015-02-08T19:29:34Z),1,1
Mike Bostock (2015-02-10T16:33:30Z),95,14
Mike Bostock (2015-02-10T16:36:27Z),5,1
Mike Bostock (2015-02-10T16:41:56Z),1,1
William Wung (2015-02-11T07:00:17Z),1,1
Mike Bostock (2015-02-12T03:10:24Z),1,1
Nathan Vander Wilt (2015-03-31T20:42:15Z),7,3
Mike Bostock (2015-02-07T16:10:12Z),3,3
Mike Bostock (2015-02-07T16:13:36Z),1,1
Mike Bostock (2015-02-07T16:20:24Z),3,1
Mike Bostock (2015-02-07T16:21:51Z),3,0
