user_date,additions,deletions
Nathan Vander Wilt (2014-05-10T22:56:46Z),4,1
Nathan Vander Wilt (2014-05-10T22:58:04Z),1,1
Nathan Vander Wilt (2014-07-16T23:18:09Z),2,2
Nathan Vander Wilt (2014-08-06T22:11:05Z),15,15
Nathan Vander Wilt (2014-08-07T01:02:41Z),26,17
Nathan Vander Wilt (2014-08-07T05:35:52Z),5,3
Nathan Vander Wilt (2014-08-07T05:36:12Z),5,3
Nathan Vander Wilt (2014-08-07T21:45:25Z),7,5
Nathan Vander Wilt (2014-08-07T21:49:22Z),5,1
Nathan Vander Wilt (2014-08-12T23:18:46Z),1,1
Nathan Vander Wilt (2014-10-11T00:31:55Z),7,4
Nathan Vander Wilt (2014-11-04T22:39:01Z),40,9
Nathan Vander Wilt (2014-11-04T23:40:24Z),1,0
Nathan Vander Wilt (2014-11-29T19:17:34Z),1,1
Nathan Vander Wilt (2014-11-29T19:18:01Z),2,2
Nathan Vander Wilt (2015-01-30T19:36:59Z),4,2
Nathan Vander Wilt (2015-02-13T18:46:13Z),1,1
Nathan Vander Wilt (2015-02-13T19:28:00Z),2,0
Nathan Vander Wilt (2015-03-23T20:35:01Z),13,266
Nathan Vander Wilt (2015-03-24T18:11:17Z),1,1
Nathan Vander Wilt (2015-03-24T18:14:58Z),1,1
Nathan Vander Wilt (2015-03-25T16:57:10Z),2,2
Nathan Vander Wilt (2016-03-17T17:01:55Z),19,12
Nathan Vander Wilt (2016-03-17T17:02:07Z),1,1
Nathan Vander Wilt (2016-09-21T22:16:25Z),14,8
Nathan Vander Wilt (2016-09-21T22:36:33Z),8,5
Nathan Vander Wilt (2016-09-21T22:44:40Z),9,3
Nathan Vander Wilt (2016-09-21T22:56:37Z),6,2
Nathan Vander Wilt (2016-09-21T23:18:09Z),1,1
Nathan Vander Wilt (2016-09-21T23:50:38Z),2,1
Nathan Vander Wilt (2011-09-09T18:58:38Z),94,24
Nathan Vander Wilt (2011-09-09T21:04:02Z),6,9
Nathan Vander Wilt (2011-09-09T21:45:24Z),1,1
Nathan Vander Wilt (2011-09-09T22:07:53Z),19,23
Nathan Vander Wilt (2011-09-09T22:23:15Z),12,20
Nathan Vander Wilt (2011-09-09T22:23:43Z),7,46
Nathan Vander Wilt (2011-09-09T23:07:02Z),1,1
Nathan Vander Wilt (2011-09-09T23:24:46Z),4,23
Nathan Vander Wilt (2011-09-09T23:38:40Z),10,0
Nathan Vander Wilt (2011-09-10T01:35:09Z),1,1
Nathan Vander Wilt (2011-09-10T01:36:10Z),40,1
Nathan Vander Wilt (2011-09-15T18:02:36Z),0,21
Nathan Vander Wilt (2011-09-15T18:04:39Z),7,1
Nathan Vander Wilt (2011-09-15T18:04:49Z),9,2
Nathan Vander Wilt (2011-09-15T18:05:52Z),1,1
Nathan Vander Wilt (2011-09-15T18:12:34Z),0,1
Nathan Vander Wilt (2011-09-15T18:16:58Z),1,1
Nathan Vander Wilt (2011-09-15T18:17:34Z),1,2
Nathan Vander Wilt (2011-09-15T20:02:41Z),5,27
Nathan Vander Wilt (2011-09-15T21:02:40Z),32,21
Nathan Vander Wilt (2011-09-15T21:07:32Z),1,1
Nathan Vander Wilt (2011-09-16T00:04:18Z),41,2
Nathan Vander Wilt (2011-09-16T00:38:51Z),10,6
Nathan Vander Wilt (2011-09-16T00:55:00Z),1,1
Nathan Vander Wilt (2011-09-16T00:55:47Z),1,1
Nathan Vander Wilt (2011-09-16T00:56:24Z),2,2
Nathan Vander Wilt (2011-09-16T01:03:12Z),1,1
Nathan Vander Wilt (2011-09-16T06:54:25Z),11,2
Nathan Vander Wilt (2011-10-28T00:14:28Z),68,19
Nathan Vander Wilt (2011-10-28T00:16:53Z),2,2
Nathan Vander Wilt (2012-04-21T00:06:46Z),8,8
Nathan Vander Wilt (2012-08-16T06:22:00Z),2,2
Nathan Vander Wilt (2012-12-11T23:42:07Z),2,2
Nathan Vander Wilt (2012-12-12T00:02:02Z),10,8
Nathan Vander Wilt (2012-12-12T00:17:12Z),6,5
Nathan Vander Wilt (2012-12-12T00:24:23Z),1,0
Nathan Vander Wilt (2012-12-19T02:44:17Z),3,4
Nathan Vander Wilt (2013-01-10T20:34:59Z),2,6
Nathan Vander Wilt (2013-01-31T19:07:28Z),2,2
Nathan Vander Wilt (2013-02-03T02:05:58Z),12,5
Nathan Vander Wilt (2013-02-25T21:40:03Z),5,3
Nathan Vander Wilt (2013-02-26T19:52:07Z),3,1
