user_date,additions,deletions
Nathan Vander Wilt (2014-05-27T17:54:11Z),41,0
Nathan Vander Wilt (2014-05-27T18:43:24Z),79,0
Nathan Vander Wilt (2014-05-27T18:44:21Z),10,10
Nathan Vander Wilt (2014-05-27T18:45:53Z),1,1
Nathan Vander Wilt (2014-05-27T19:18:29Z),1,1
Nathan Vander Wilt (2014-05-27T20:04:35Z),2,2
Nathan Vander Wilt (2014-05-27T20:05:10Z),3,3
Nathan Vander Wilt (2014-05-27T20:49:05Z),13,3
Nathan Vander Wilt (2014-05-27T20:49:25Z),5,5
Nathan Vander Wilt (2014-05-27T20:55:18Z),191,0
Nathan Vander Wilt (2014-05-27T20:56:25Z),1,1
